host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778609300.731313,52304,2477626,0,0,0,0,0
1778609300.822001,52305,2477636,0,0,0,0,0
1778609300.957086,52306,2477717,0,0,0,0,0
1778609301.047083,52308,2477916,0,0,0,0,0
1778609301.136807,52309,2477942,4,0,0,0,0
1778609301.226821,52310,2478032,0,0,0,0,0
1778609301.317238,52311,2478122,0,0,0,0,0
1778609301.407233,52312,2478212,0,0,0,0,0
1778609301.496102,52313,2478302,0,0,0,0,5
1778609301.586202,52314,2478392,0,0,0,0,0
1778609301.676235,52315,2478482,0,0,0,0,1
1778609301.766944,52316,2478572,0,0,0,2,0
1778609301.856232,52317,2478662,0,0,3,0,0
1778609301.946264,52318,2478752,0,0,2,0,0
1778609302.036192,52319,2478842,0,0,0,1,0
1778609302.126116,52320,2478932,0,0,0,0,0
1778609302.215971,52321,2479022,0,0,0,0,0
1778609302.306082,52322,2479112,0,0,0,0,0
1778609302.396186,52323,2479202,0,0,0,0,0
1778609302.486152,52324,2479292,0,0,0,0,0
1778609302.576160,52325,2479382,0,0,4,0,0
1778609302.666156,52326,2479472,0,0,0,0,0
1778609302.756155,52327,2479562,0,0,0,0,2
1778609302.846033,52328,2479652,0,0,0,0,2
1778609302.936148,52329,2479742,0,0,0,8,0
1778609303.071184,52330,2479833,0,0,0,0,0
1778609303.161112,52332,2480032,0,0,0,0,0
1778609303.250918,52333,2480057,3,5,2,0,0
1778609303.342157,52334,2480147,0,0,10,0,0
1778609303.431253,52335,2480237,0,0,0,1,0
1778609303.521219,52336,2480327,0,0,0,0,0
1778609303.611228,52337,2480417,0,0,0,0,0
1778609303.701228,52338,2480507,0,0,0,0,0
1778609303.791218,52339,2480597,0,0,0,0,0
1778609303.880989,52340,2480687,0,0,0,0,0
1778609303.970906,52341,2480777,0,0,0,3,0
1778609304.061156,52342,2480867,0,0,0,2,0
1778609304.151097,52343,2480958,0,0,0,0,8
1778609304.240985,52344,2481047,0,0,0,0,0
1778609304.331243,52345,2481137,0,0,4,2,0
1778609304.421094,52346,2481227,0,0,0,0,0
1778609304.511223,52347,2481317,0,0,0,0,0
1778609304.601240,52348,2481407,0,0,0,0,0
1778609304.691220,52349,2481498,0,0,0,0,0
1778609304.781160,52350,2481587,0,0,0,0,2
1778609304.871224,52351,2481677,0,0,0,0,0
1778609304.961248,52352,2481767,0,0,0,0,0
1778609305.051134,52353,2481857,2,0,0,0,0
1778609305.141245,52354,2481947,0,0,0,0,0
1778609305.231044,52355,2482038,0,1,0,0,0
1778609305.321228,52356,2482127,0,0,0,0,0
1778609305.411929,52357,2482217,0,0,0,0,0
1778609305.501261,52358,2482307,0,0,0,0,0
1778609305.591227,52359,2482397,0,0,0,0,0
1778609305.681293,52360,2482487,0,0,0,0,23
1778609305.771199,52361,2482578,2,0,0,0,0
1778609305.861240,52362,2482667,0,0,0,0,0
1778609305.951928,52363,2482757,0,0,0,0,0
1778609306.041122,52364,2482847,0,0,0,0,0
1778609306.131218,52365,2482937,0,0,0,0,0
1778609306.221236,52366,2483027,0,0,0,0,0
1778609306.311212,52367,2483118,0,0,0,0,0
1778609306.401223,52368,2483208,12,0,0,0,0
1778609306.491181,52369,2483297,0,0,0,0,0
1778609306.581165,52370,2483387,0,3,0,0,0
1778609306.671233,52371,2483477,0,0,0,0,0
1778609306.761048,52372,2483567,0,0,0,0,0
1778609306.851040,52373,2483657,0,0,0,0,0
1778609306.941233,52374,2483748,0,0,0,0,0
1778609307.031173,52375,2483836,0,0,0,0,0
1778609307.121167,52376,2483926,0,0,6,49,0
1778609307.211160,52377,2484016,0,0,0,0,0
1778609307.301145,52378,2484106,0,0,0,0,0
1778609307.391166,52379,2484196,0,0,0,0,0
1778609307.526039,52380,2484288,0,0,0,0,0
1778609307.616078,52382,2484487,0,0,0,0,0
1778609307.706162,52383,2484512,0,0,0,0,0
1778609307.796168,52384,2484602,0,0,0,0,0
1778609307.886070,52385,2484692,0,0,0,6,0
1778609307.976157,52386,2484783,0,4,0,0,4
1778609308.066037,52387,2484873,4,0,0,0,0
1778609308.156156,52388,2484962,0,0,0,8,0
1778609308.247138,52389,2485052,0,0,0,0,0
1778609308.336165,52390,2485142,3,0,0,0,0
1778609308.426147,52391,2485232,0,0,0,0,0
1778609308.516142,52392,2485323,0,4,0,0,0
1778609308.606181,52393,2485413,0,0,2,0,0
1778609308.696164,52394,2485502,0,0,0,0,0
1778609308.786167,52395,2485592,0,0,12,0,2
1778609308.876167,52396,2485682,2,0,0,0,0
1778609308.966175,52397,2485772,0,0,0,0,0
1778609309.101077,52398,2485862,0,0,0,0,0
1778609309.191161,52400,2486062,0,0,0,0,0
1778609309.281135,52401,2486087,0,0,0,0,0
1778609309.371155,52402,2486177,0,0,0,0,0
1778609309.461167,52403,2486267,0,0,0,2,0
1778609309.551164,52404,2486357,0,0,0,0,0
1778609309.686174,52405,2486448,2,0,0,0,0
1778609309.776160,52407,2486647,0,0,0,0,0
1778609309.865075,52408,2486672,0,0,0,0,0
1778609309.955268,52409,2486762,0,0,1,0,0
1778609310.045162,52410,2486852,0,0,0,0,0
1778609310.135936,52411,2486942,0,0,0,0,0
1778609310.225152,52412,2487033,0,0,0,1,0
1778609310.360161,52413,2487123,0,0,0,0,0
1778609310.449994,52415,2487322,0,0,0,0,0
1778609310.541145,52416,2487347,0,1,0,0,0
1778609310.630160,52417,2487437,0,0,1,0,4
1778609310.720066,52418,2487527,2,0,0,0,0
1778609310.810074,52419,2487618,0,0,0,0,0
1778609310.945234,52421,2487816,0,0,0,0,0
1778609311.035123,52422,2487841,3,0,0,0,0
1778609311.125231,52423,2487931,0,0,0,0,0
1778609311.215155,52424,2488021,0,3,0,0,0
1778609311.305228,52425,2488113,0,0,0,0,0
1778609311.395221,52426,2488203,0,0,0,0,0
1778609311.530247,52427,2488292,0,1,0,0,0
1778609311.621225,52429,2488492,0,0,0,0,0
1778609311.711895,52430,2488517,0,0,0,0,0
1778609311.801280,52431,2488607,0,0,0,0,0
1778609311.890221,52432,2488698,2,0,0,0,0
1778609312.025221,52433,2488788,0,0,0,0,0
1778609312.160214,52435,2488987,0,0,0,0,0
1778609312.250049,52437,2489122,0,0,0,0,0
1778609312.340220,52438,2489147,0,2,0,2,0
1778609312.430234,52439,2489238,0,0,0,0,0
1778609312.520228,52440,2489328,0,0,0,0,0
1778609312.610222,52441,2489417,0,0,0,0,0
1778609312.745901,52442,2489507,0,0,0,0,0
1778609312.925236,52444,2489707,0,0,0,0,0
1778609313.015229,52446,2489841,0,0,0,0,0
1778609313.105225,52447,2489912,0,0,0,0,0
1778609313.195205,52448,2490001,0,0,6,0,0
1778609313.285079,52449,2490091,0,0,0,0,0
1778609313.375121,52450,2490181,5,0,0,0,0
1778609313.510235,52451,2490271,0,0,0,0,0
1778609313.600256,52453,2490472,0,0,0,0,0
1778609313.690225,52454,2490498,0,0,0,0,0
1778609313.780231,52455,2490587,0,0,0,0,5
1778609313.915239,52457,2490787,0,0,0,0,0
