host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778609426.090698,61180,2602992,0,0,0,0,0
1778609426.179886,61181,2603001,0,0,0,0,0
1778609426.314976,61183,2603201,0,0,0,0,0
1778609426.405092,61184,2603226,0,0,0,0,0
1778609426.495125,61185,2603316,0,0,0,0,0
1778609426.585220,61186,2603406,0,0,0,0,0
1778609426.675170,61187,2603496,0,0,0,0,0
1778609426.765968,61188,2603586,0,0,0,0,0
1778609426.855171,61189,2603676,0,0,0,0,0
1778609426.990152,61191,2603875,0,0,0,0,0
1778609427.080933,61192,2603901,0,0,0,0,0
1778609427.170038,61193,2603991,0,0,0,0,0
1778609427.260823,61194,2604082,0,0,1,0,0
1778609427.350176,61195,2604171,0,0,0,0,0
1778609427.440088,61196,2604261,0,0,0,2,0
1778609427.530170,61197,2604351,0,0,0,0,0
1778609427.621159,61198,2604441,0,0,0,0,2
1778609427.710163,61199,2604531,0,0,0,0,0
1778609427.800066,61200,2604622,0,0,0,0,0
1778609427.890034,61201,2604711,0,5,0,0,0
1778609427.979951,61202,2604801,1,0,0,0,0
1778609428.070160,61203,2604891,0,0,0,0,0
1778609428.160029,61204,2604981,14,0,0,0,0
1778609428.250150,61205,2605071,0,0,3,0,0
1778609428.339948,61206,2605161,0,3,0,0,0
1778609428.430168,61207,2605251,0,0,0,0,0
1778609428.520163,61208,2605340,0,0,2,0,0
1778609428.610063,61209,2605430,0,1,0,0,0
1778609428.700106,61210,2605520,0,0,0,0,1
1778609428.790231,61211,2605610,0,0,0,0,0
1778609428.880220,61212,2605700,0,0,0,0,0
1778609428.970137,61213,2605791,0,0,0,0,0
1778609429.060152,61214,2605881,0,0,0,0,0
1778609429.150162,61215,2605971,0,1,0,0,0
1778609429.240093,61216,2606061,0,0,0,0,0
1778609429.330163,61217,2606151,6,0,0,0,0
1778609429.420185,61218,2606241,0,0,0,0,0
1778609429.510142,61219,2606332,0,0,0,0,0
1778609429.600192,61220,2606421,0,0,0,0,0
1778609429.690146,61221,2606511,0,0,0,0,0
1778609429.780018,61222,2606601,0,0,0,0,0
1778609429.869965,61223,2606691,0,0,2,0,0
1778609429.960235,61224,2606781,0,0,0,0,0
1778609430.050157,61225,2606872,0,0,0,0,0
1778609430.140143,61226,2606961,0,0,0,0,0
1778609430.230150,61227,2607051,0,0,0,0,15
1778609430.320151,61228,2607141,0,0,0,0,0
1778609430.410846,61229,2607231,0,0,0,0,0
1778609430.500085,61230,2607321,0,0,0,0,0
1778609430.590150,61231,2607412,0,0,0,0,0
1778609430.680159,61232,2607501,0,0,0,0,0
1778609430.770151,61233,2607591,0,0,1,0,0
1778609430.860180,61234,2607681,0,0,0,0,4
1778609430.950141,61235,2607771,0,0,0,0,0
1778609431.040212,61236,2607861,0,0,0,0,0
1778609431.130233,61237,2607952,8,0,0,0,0
1778609431.220962,61238,2608041,0,0,0,0,1
1778609431.310272,61239,2608131,0,0,0,0,0
1778609431.400266,61240,2608221,0,0,0,0,2
1778609431.490869,61241,2608311,0,0,0,0,0
1778609431.580063,61242,2608401,1,0,0,0,0
1778609431.670022,61243,2608492,0,0,0,0,0
1778609431.760152,61244,2608582,0,0,0,2,0
1778609431.850160,61245,2608671,0,0,1,0,0
1778609431.940295,61246,2608761,0,4,0,0,0
1778609432.030240,61247,2608851,0,0,0,0,0
1778609432.120085,61248,2608941,0,0,0,0,0
1778609432.210235,61249,2609031,0,0,0,0,0
1778609432.300226,61250,2609122,0,0,0,0,0
1778609432.390237,61251,2609210,0,0,0,0,0
1778609432.480226,61252,2609300,0,0,0,17,0
1778609432.570227,61253,2609390,0,0,0,0,0
1778609432.660109,61254,2609480,0,0,0,0,0
1778609432.750216,61255,2609570,0,0,2,0,0
1778609432.840228,61256,2609662,0,0,0,0,0
1778609432.930229,61257,2609751,0,0,0,0,0
1778609433.020895,61258,2609841,0,0,0,0,0
1778609433.111079,61259,2609931,0,0,0,0,0
1778609433.200182,61260,2610021,0,0,0,0,0
1778609433.290228,61261,2610111,0,0,0,0,0
1778609433.380040,61262,2610202,0,0,0,0,0
1778609433.470181,61263,2610291,0,0,0,0,0
1778609433.559928,61264,2610381,0,0,0,0,0
1778609433.650225,61265,2610471,0,0,0,7,0
1778609433.740221,61266,2610561,0,0,0,0,0
1778609433.875030,61267,2610651,16,0,0,0,0
1778609433.920213,61268,2610742,0,0,0,0,0
1778609434.010249,61269,2610833,0,0,0,0,0
1778609434.099987,61270,2610921,5,0,0,0,0
1778609434.190221,61271,2611011,0,0,0,0,0
1778609434.280236,61272,2611101,0,0,0,0,0
1778609434.369933,61273,2611191,0,0,0,0,0
1778609434.460224,61274,2611282,0,0,0,0,0
1778609434.550082,61275,2611372,2,0,0,0,0
1778609434.640161,61276,2611461,0,0,0,0,0
1778609434.730212,61277,2611551,0,0,0,0,0
1778609434.820222,61278,2611641,0,0,0,0,0
1778609434.910219,61279,2611731,0,0,0,0,0
1778609435.000223,61280,2611822,0,0,0,0,0
1778609435.090220,61281,2611912,0,0,0,4,0
1778609435.180123,61282,2612001,0,0,0,0,0
1778609435.270215,61283,2612091,0,0,0,0,0
1778609435.360155,61284,2612181,0,0,0,0,0
1778609435.450090,61285,2612271,0,0,0,0,0
1778609435.540226,61286,2612362,0,0,0,0,0
1778609435.629999,61287,2612452,0,0,0,0,0
1778609435.720054,61288,2612541,0,2,0,0,0
1778609435.810149,61289,2612631,0,0,0,0,0
1778609435.900148,61290,2612721,0,0,0,0,0
1778609435.990176,61291,2612811,0,0,0,0,0
1778609436.080199,61292,2612902,0,0,0,0,0
1778609436.170069,61293,2612992,0,0,0,0,0
1778609436.260249,61294,2613082,0,0,0,0,0
1778609436.350221,61295,2613171,0,0,0,0,0
1778609436.439202,61296,2613261,0,0,0,0,4
1778609436.529197,61297,2613351,0,0,0,0,0
1778609436.619166,61298,2613441,0,0,0,0,0
1778609436.709071,61299,2613532,0,0,0,0,0
1778609436.799143,61300,2613622,0,0,0,0,0
1778609436.889158,61301,2613711,0,0,0,0,8
1778609436.979180,61302,2613801,0,0,0,0,0
1778609437.068913,61303,2613891,0,0,0,0,0
1778609437.158970,61304,2613981,0,0,0,0,0
1778609437.249076,61305,2614072,0,0,0,0,0
1778609437.339170,61306,2614162,0,0,0,0,0
1778609437.429169,61307,2614251,0,0,0,0,0
1778609437.519157,61308,2614341,0,0,0,0,2
1778609437.609158,61309,2614431,0,0,0,0,0
1778609437.699160,61310,2614521,0,0,0,0,0
1778609437.789039,61311,2614612,0,0,0,0,0
1778609437.879095,61312,2614702,0,0,8,0,0
1778609437.969101,61313,2614791,0,0,0,0,0
1778609438.059158,61314,2614881,0,0,0,0,0
1778609438.149166,61315,2614971,0,0,0,0,0
1778609438.239155,61316,2615061,0,0,0,0,0
1778609438.329102,61317,2615152,0,0,0,0,0
1778609438.419158,61318,2615242,0,0,1,0,0
1778609438.509136,61319,2615332,0,0,0,0,0
1778609438.599073,61320,2615421,0,0,0,0,0
1778609438.689215,61321,2615511,0,23,0,0,0
1778609438.824238,61322,2615601,0,0,0,0,0
1778609438.914216,61324,2615801,0,0,0,0,0
1778609439.004227,61325,2615827,0,0,0,0,0
1778609439.094161,61326,2615916,0,0,0,0,0
1778609439.184158,61327,2616006,2,0,0,0,0
1778609439.274059,61328,2616096,0,0,0,0,0
1778609439.364177,61329,2616186,0,0,0,0,0
1778609439.454067,61330,2616277,0,0,0,0,0
1778609439.544156,61331,2616367,0,0,0,0,0
1778609439.634045,61332,2616457,0,0,0,0,0
1778609439.769169,61333,2616546,0,2,0,0,0
1778609439.859068,61335,2616746,0,0,0,0,0
1778609439.949167,61336,2616772,0,0,1,0,0
1778609440.084156,61337,2616862,0,0,7,0,0
1778609440.174178,61339,2617061,0,0,0,0,0
1778609440.264153,61340,2617086,4,0,0,1,0
1778609440.399172,61341,2617176,0,0,0,0,0
1778609440.489157,61343,2617375,0,0,0,0,0
1778609440.579173,61344,2617402,0,0,0,0,0
1778609440.669161,61345,2617491,0,0,0,0,1
1778609440.759166,61346,2617581,0,0,0,0,0
1778609440.848933,61347,2617670,0,0,0,0,0
1778609440.939174,61348,2617760,0,0,0,0,0
1778609441.029162,61349,2617850,0,0,0,0,1
1778609441.119169,61350,2617942,0,0,0,0,0
1778609441.209919,61351,2618032,0,0,0,0,2
1778609441.299198,61352,2618122,0,0,0,3,0
1778609441.389060,61353,2618211,0,0,0,0,0
1778609441.479166,61354,2618301,0,0,0,0,0
1778609441.569198,61355,2618392,0,0,0,0,0
1778609441.659035,61356,2618482,0,0,0,0,0
1778609441.749154,61357,2618572,8,0,0,0,0
1778609441.839171,61358,2618662,0,0,0,0,0
1778609441.928847,61359,2618751,0,0,0,0,0
1778609442.019177,61360,2618841,0,0,0,0,0
1778609442.108996,61361,2618931,0,0,0,0,0
1778609442.199162,61362,2619022,0,0,0,0,0
1778609442.289090,61363,2619112,0,0,0,0,0
1778609442.379069,61364,2619202,0,0,0,0,0
1778609442.469054,61365,2619291,1,0,0,0,0
1778609442.559234,61366,2619381,0,0,0,0,0
1778609442.649117,61367,2619471,4,9,0,0,0
1778609442.739234,61368,2619562,0,0,8,0,0
1778609442.829230,61369,2619652,0,4,0,0,0
1778609442.919265,61370,2619742,0,0,0,0,0
1778609443.009254,61371,2619832,0,0,0,0,0
