host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778609695.137448,85259,2872059,0,0,0,0,0
1778609695.227057,85260,2872069,0,0,0,0,4
1778609695.317218,85261,2872155,0,0,0,0,0
1778609695.407017,85262,2872245,0,0,0,0,0
1778609695.497260,85263,2872334,0,0,0,0,0
1778609695.586901,85264,2872424,0,0,0,0,0
1778609695.677017,85265,2872515,2,0,0,0,0
1778609695.767064,85266,2872605,0,0,0,0,1
1778609695.857208,85267,2872695,0,0,0,0,0
1778609695.947220,85268,2872785,0,0,0,0,0
1778609696.037913,85269,2872875,0,0,0,0,0
1778609696.127194,85270,2872964,0,0,0,0,0
1778609696.262196,85272,2873165,0,0,0,0,0
1778609696.352082,85273,2873190,0,8,0,0,0
1778609696.442247,85274,2873280,0,0,0,0,0
1778609696.531987,85275,2873370,0,0,0,0,0
1778609696.622101,85276,2873459,0,0,0,0,0
1778609696.712206,85277,2873549,0,0,0,0,0
1778609696.802226,85278,2873640,0,0,0,0,0
1778609696.892221,85279,2873730,0,0,0,0,0
1778609696.982204,85280,2873820,0,0,0,0,0
1778609697.072223,85281,2873910,0,0,0,0,0
1778609697.162220,85282,2874000,0,0,0,0,0
1778609697.252218,85283,2874089,0,0,0,0,0
1778609697.343234,85284,2874180,0,0,4,0,0
1778609697.432238,85285,2874270,0,0,0,0,0
1778609697.522218,85286,2874360,0,0,0,0,0
1778609697.612987,85287,2874450,0,0,0,0,0
1778609697.702188,85288,2874540,0,0,2,0,0
1778609697.792232,85289,2874629,0,0,0,0,0
1778609697.882212,85290,2874720,0,0,0,0,0
1778609697.972280,85291,2874810,0,0,0,0,0
1778609698.062221,85292,2874900,0,0,0,0,0
1778609698.152051,85293,2874990,0,0,0,0,0
1778609698.242219,85294,2875080,0,0,0,0,0
1778609698.332200,85295,2875169,0,0,0,0,0
1778609698.422217,85296,2875260,0,0,0,0,0
1778609698.512004,85297,2875350,0,16,4,2,0
1778609698.602218,85298,2875440,0,0,0,0,1
1778609698.692071,85299,2875530,0,0,0,0,0
1778609698.782222,85300,2875620,0,0,0,0,0
1778609698.872070,85301,2875709,0,0,0,0,0
1778609698.962236,85302,2875800,0,0,0,12,0
1778609699.052227,85303,2875890,0,0,0,0,0
1778609699.141931,85304,2875980,0,0,0,0,0
1778609699.277242,85305,2876070,0,0,0,0,0
1778609699.367108,85307,2876269,0,0,0,1,0
1778609699.457202,85308,2876294,0,0,0,0,0
1778609699.547019,85309,2876385,0,3,0,0,0
1778609699.637218,85310,2876475,0,0,0,0,4
1778609699.727099,85311,2876565,0,0,0,0,0
1778609699.817215,85312,2876655,0,0,0,0,0
1778609699.906896,85313,2876745,0,0,0,0,0
1778609699.997166,85314,2876834,0,0,0,0,0
1778609700.087163,85315,2876925,0,0,0,0,0
1778609700.177181,85316,2877015,0,0,0,0,0
1778609700.267064,85317,2877105,0,0,0,0,0
1778609700.357156,85318,2877195,0,0,0,0,0
1778609700.447142,85319,2877285,0,0,0,0,0
1778609700.537051,85320,2877375,0,0,0,0,0
1778609700.626964,85321,2877465,0,5,0,0,0
1778609700.717166,85322,2877555,0,0,0,0,1
1778609700.807000,85323,2877645,0,0,0,0,7
1778609700.897034,85324,2877735,0,0,0,0,0
1778609700.987162,85325,2877825,0,0,0,0,0
1778609701.077161,85326,2877915,0,0,0,0,0
1778609701.212165,85327,2878005,0,0,0,0,0
1778609701.301939,85329,2878205,0,0,0,0,0
1778609701.482046,85330,2878230,1,0,0,0,0
1778609701.617048,85332,2878429,0,0,0,0,0
1778609701.707164,85334,2878609,0,0,1,0,0
1778609701.842038,85335,2878635,0,1,0,0,0
1778609701.932163,85337,2878833,0,0,0,0,0
1778609702.021958,85338,2878859,0,0,0,0,0
1778609702.112159,85339,2878949,0,0,0,0,0
1778609702.202157,85340,2879039,0,0,0,0,2
1778609702.292162,85341,2879130,2,0,0,0,0
1778609702.382162,85342,2879220,0,0,0,0,0
1778609702.562173,85343,2879310,0,0,0,0,0
1778609702.652158,85345,2879509,0,0,0,0,0
1778609702.742183,85346,2879580,0,0,0,0,0
1778609702.832163,85347,2879670,0,0,0,0,0
1778609702.922159,85348,2879760,0,0,0,0,0
1778609703.012165,85349,2879850,0,0,0,0,0
1778609703.101964,85350,2879940,0,0,0,0,0
1778609703.237157,85351,2880030,0,0,0,0,0
1778609703.327158,85353,2880229,0,0,0,0,0
1778609703.417051,85354,2880255,0,0,0,0,0
1778609703.552020,85355,2880345,0,0,0,0,0
1778609703.642201,85357,2880544,0,0,0,0,0
1778609703.732211,85358,2880570,0,0,0,0,0
1778609703.822220,85359,2880660,0,0,0,0,0
1778609703.912028,85360,2880750,0,0,0,0,0
1778609704.002225,85361,2880840,0,0,0,4,0
1778609704.092212,85362,2880930,0,0,0,0,0
1778609704.182190,85363,2881020,0,0,0,0,0
1778609704.272189,85364,2881110,0,0,0,0,0
1778609704.362225,85365,2881200,0,0,1,0,0
1778609704.497245,85367,2881400,0,0,0,0,0
1778609704.587212,85368,2881425,0,0,0,0,0
1778609704.677228,85369,2881515,0,0,0,2,0
1778609704.767207,85370,2881605,0,0,0,0,0
1778609704.857241,85371,2881695,0,0,0,0,0
1778609704.947961,85372,2881785,0,0,0,0,0
1778609705.082242,85373,2881875,0,0,0,0,0
1778609705.172190,85375,2882075,9,447,7,0,0
1778609705.262056,85376,2882100,18,599,0,0,0
1778609705.351983,85377,2882190,91,800,0,0,0
1778609705.442221,85378,2882280,148,1203,0,0,0
1778609705.576956,85380,2882479,242,1824,0,0,0
1778609705.667229,85381,2882505,252,1869,0,0,0
1778609705.757210,85382,2882594,273,1957,0,0,0
1778609705.847036,85383,2882684,304,2062,0,0,0
1778609705.982041,85384,2882774,350,2168,0,0,0
1778609706.072184,85386,2882973,495,2338,0,0,0
1778609706.162222,85387,2883000,547,2380,0,0,0
1778609706.297218,85388,2883090,580,2490,0,0,0
1778609706.387222,85390,2883290,780,2589,0,0,0
1778609706.477228,85391,2883315,780,2600,0,0,0
1778609706.567062,85392,2883405,846,2629,0,0,0
1778609706.657225,85393,2883495,867,2672,0,0,0
1778609706.747236,85394,2883585,883,2723,0,0,0
1778609706.837203,85395,2883675,912,2734,0,0,0
1778609706.927216,85396,2883765,908,2720,0,0,0
1778609707.062039,85397,2883855,921,2719,0,0,0
1778609707.152197,85399,2884054,932,2719,0,0,0
1778609707.242216,85400,2884081,933,2731,2,0,0
1778609707.332220,85401,2884170,928,2720,0,0,1
1778609707.423232,85402,2884260,949,2733,0,0,0
1778609707.512217,85403,2884350,971,2742,2,0,0
1778609707.602044,85404,2884440,984,2742,0,0,0
1778609707.692218,85405,2884530,991,2741,0,0,0
1778609707.827241,85407,2884729,1013,2740,0,0,0
1778609707.917222,85408,2884755,1007,2732,0,0,2
1778609708.007219,85409,2884845,1013,2720,0,0,0
1778609708.098950,85410,2884935,1004,2703,1,0,0
1778609708.187240,85411,2885025,1001,2691,0,0,0
1778609708.277226,85412,2885115,1016,2708,0,0,0
1778609708.367217,85413,2885206,1022,2723,0,0,0
1778609708.457093,85414,2885295,1031,2739,0,2,0
1778609708.547241,85415,2885385,1052,2755,0,0,0
1778609708.637027,85416,2885475,1049,2749,0,0,0
1778609708.727214,85417,2885565,1069,2752,0,0,0
1778609708.817228,85418,2885655,1069,2723,2,0,0
1778609708.907220,85419,2885746,1073,2744,0,0,0
1778609708.997236,85420,2885835,1087,2707,0,0,0
1778609709.089360,85421,2885925,1110,2728,0,0,0
1778609709.177008,85422,2886015,1120,2717,0,0,0
1778609709.267220,85423,2886105,1128,2719,0,0,0
1778609709.357217,85424,2886195,1122,2735,0,0,0
1778609709.447241,85425,2886286,1132,2728,0,0,0
1778609709.537230,85426,2886375,1116,2664,0,0,0
1778609709.627210,85427,2886464,1095,2652,0,0,0
1778609709.717028,85428,2886554,1087,2660,0,4,0
1778609709.807070,85429,2886644,1080,2644,0,0,5
1778609709.897212,85430,2886734,1037,2524,0,0,0
1778609709.987245,85431,2886824,1064,2547,0,0,0
1778609710.077130,85432,2886916,1089,2559,0,0,0
1778609710.168220,85433,2887005,1103,2570,0,0,0
