host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778610032.686561,113009,3209611,0,0,0,0,0
1778610032.776116,113010,3209621,0,0,0,0,0
1778610032.866103,113011,3209710,0,0,0,0,0
1778610032.956107,113012,3209800,0,0,0,0,0
1778610033.046098,113013,3209890,0,0,0,0,0
1778610033.136092,113014,3209981,0,0,0,0,0
1778610033.226242,113015,3210071,0,0,0,0,0
1778610033.316224,113016,3210161,0,0,0,0,0
1778610033.406229,113017,3210250,0,0,0,11,0
1778610033.496033,113018,3210340,0,0,0,0,0
1778610033.586227,113019,3210430,0,0,0,4,0
1778610033.676234,113020,3210521,0,0,0,0,0
1778610033.766163,113021,3210611,0,0,0,0,0
1778610033.856223,113022,3210701,0,0,0,0,0
1778610033.946219,113023,3210791,0,1,0,0,0
1778610034.036105,113024,3210880,0,0,1,0,0
1778610034.125933,113025,3210970,0,0,0,0,0
1778610034.216229,113026,3211061,0,0,0,0,0
1778610034.306251,113027,3211151,0,0,0,0,0
1778610034.441052,113028,3211241,0,0,0,0,2
1778610034.531096,113030,3211440,0,0,0,0,0
1778610034.621147,113031,3211465,0,0,0,0,0
1778610034.711235,113032,3211555,0,0,0,0,0
1778610034.801020,113033,3211646,0,0,0,1,0
1778610034.891224,113034,3211736,0,0,0,0,0
1778610034.981239,113035,3211826,0,0,0,0,0
1778610035.071094,113036,3211916,0,0,0,0,0
1778610035.161108,113037,3212005,0,0,0,0,0
1778610035.250985,113038,3212095,0,0,0,0,0
1778610035.341238,113039,3212186,0,0,0,0,0
1778610035.431294,113040,3212276,0,0,0,0,4
1778610035.521329,113041,3212366,0,0,0,0,0
1778610035.611226,113042,3212456,0,0,0,0,0
1778610035.700992,113043,3212545,0,0,0,0,0
1778610035.791232,113044,3212635,0,0,0,6,0
1778610035.926255,113046,3212835,13,0,1,0,0
1778610036.016221,113047,3212861,0,0,0,0,0
1778610036.105943,113048,3212951,0,0,0,0,0
1778610036.196227,113049,3213041,0,0,0,0,0
1778610036.286220,113050,3213130,0,0,0,0,0
1778610036.377225,113051,3213220,0,0,0,0,0
1778610036.466228,113052,3213311,0,0,0,0,0
1778610036.556229,113053,3213400,0,0,0,0,0
1778610036.691228,113055,3213599,0,0,0,0,0
1778610036.782207,113056,3213625,0,0,0,0,0
1778610036.872246,113057,3213714,0,0,0,0,0
1778610036.961207,113058,3213806,0,0,0,0,0
1778610037.096251,113059,3213896,0,0,0,0,0
1778610037.186148,113061,3214095,0,0,0,0,0
1778610037.276268,113062,3214121,0,0,0,0,0
1778610037.411234,113063,3214210,0,0,0,0,7
1778610037.546254,113065,3214410,0,0,0,0,0
1778610037.635943,113067,3214545,0,0,0,0,0
1778610037.726212,113068,3214571,0,0,0,0,0
1778610037.816029,113069,3214661,0,0,15,0,0
1778610037.905964,113070,3214750,0,0,0,0,0
1778610037.996220,113071,3214840,0,0,0,0,0
1778610038.177086,113072,3214931,0,0,0,0,0
1778610038.266231,113074,3215130,0,0,0,0,0
1778610038.356320,113075,3215201,0,0,0,0,0
1778610038.446018,113076,3215291,0,0,0,0,0
1778610038.536240,113077,3215380,0,0,0,0,0
1778610038.626249,113078,3215471,0,0,0,0,0
1778610038.716002,113079,3215561,0,0,0,0,0
1778610038.806179,113080,3215651,0,0,0,1,0
1778610038.896241,113081,3215741,102,264,0,1,6
1778610038.986217,113082,3215831,422,681,0,0,0
1778610039.076220,113083,3215920,397,844,0,2,0
1778610039.166236,113084,3216011,401,916,0,0,0
1778610039.256182,113085,3216101,529,1048,0,0,1
1778610039.346215,113086,3216191,675,1323,0,0,0
1778610039.436227,113087,3216281,810,1654,0,0,0
1778610039.526225,113088,3216371,866,1749,0,0,0
1778610039.616246,113089,3216460,939,1856,0,0,0
1778610039.706229,113090,3216551,988,1853,0,0,0
1778610039.796248,113091,3216641,1025,1867,0,0,0
1778610039.886209,113092,3216731,1048,1885,0,0,1
1778610039.976234,113093,3216821,1073,1882,0,0,0
1778610040.066235,113094,3216911,1094,1889,0,0,0
1778610040.156100,113095,3217000,1119,1850,0,0,3
1778610040.246217,113096,3217090,1162,1838,0,0,0
1778610040.381228,113097,3217181,1158,1791,0,0,0
1778610040.471237,113099,3217379,1179,1689,0,0,0
1778610040.561228,113100,3217405,1182,1675,0,0,0
1778610040.651133,113101,3217495,1200,1687,0,0,0
1778610040.741234,113102,3217584,1210,1742,0,0,0
1778610040.831247,113103,3217676,1235,1877,0,0,0
1778610040.921232,113104,3217766,1248,1902,0,0,0
1778610041.011225,113105,3217856,1256,1938,0,7,0
1778610041.145870,113106,3217946,1273,1978,0,0,0
1778610041.236094,113108,3218145,1309,2062,0,0,0
