host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1777072347.547815,46552,1068006,0,0,0,0,0
1777072347.637076,46553,1068016,0,9,0,0,0
1777072347.726996,46554,1068102,0,0,2,0,0
1777072347.817122,46555,1068192,0,0,0,0,0
1777072347.907120,46556,1068282,0,0,11,0,0
1777072347.996972,46557,1068372,0,0,0,0,0
1777072348.087267,46558,1068462,0,0,0,0,0
1777072348.177052,46559,1068551,0,0,0,0,0
1777072348.267254,46560,1068641,0,0,0,0,0
1777072348.357090,46561,1068731,0,0,0,0,9
1777072348.447020,46562,1068821,4,0,2,0,0
1777072348.536988,46563,1068911,0,0,0,0,0
1777072348.627115,46564,1069002,0,0,0,0,0
1777072348.716911,46565,1069092,0,0,0,0,0
1777072348.807258,46566,1069182,0,0,4,0,0
1777072348.897274,46567,1069272,0,0,0,0,0
1777072348.987269,46568,1069362,9,0,0,0,0
1777072349.077057,46569,1069452,0,0,0,0,0
1777072349.167274,46570,1069542,0,0,0,0,0
1777072349.256952,46571,1069632,0,0,0,0,0
1777072349.347236,46572,1069722,0,0,0,0,0
1777072349.437254,46573,1069812,0,1,0,0,0
1777072349.526992,46574,1069902,0,0,0,0,0
1777072349.617146,46575,1069992,0,0,0,0,0
1777072349.707060,46576,1070083,0,0,0,0,0
1777072349.797245,46577,1070172,0,0,0,0,0
1777072349.932364,46579,1070372,0,0,0,0,0
1777072350.022085,46580,1070397,0,0,0,0,0
1777072350.111968,46581,1070487,0,0,0,0,0
1777072350.202263,46582,1070577,0,0,0,2,0
1777072350.292264,46583,1070667,0,0,0,0,0
1777072350.382377,46584,1070757,0,0,0,0,0
1777072350.472098,46585,1070847,0,0,0,0,0
1777072350.562265,46586,1070937,0,0,0,0,0
1777072350.652033,46587,1071027,0,0,0,0,0
1777072350.742085,46588,1071117,0,0,0,0,0
1777072350.832370,46589,1071208,0,0,0,0,0
1777072350.922103,46590,1071297,0,0,0,0,0
1777072351.012133,46591,1071387,0,0,2,0,2
1777072351.101999,46592,1071477,0,0,0,0,0
1777072351.192122,46593,1071567,0,0,0,0,0
1777072351.282265,46594,1071657,0,4,0,0,0
1777072351.372256,46595,1071748,0,9,0,0,0
1777072351.462122,46596,1071837,0,0,0,0,0
1777072351.551841,46597,1071927,0,0,0,0,0
1777072351.643281,46598,1072017,0,0,0,0,0
1777072351.732171,46599,1072107,0,0,0,0,0
1777072351.822235,46600,1072197,0,0,0,0,0
1777072351.912250,46601,1072288,0,0,0,0,0
1777072352.002030,46602,1072377,0,0,0,0,0
1777072352.137894,46603,1072467,0,0,0,0,1
1777072352.227836,46605,1072666,0,0,0,0,0
1777072352.316965,46606,1072692,0,0,0,0,0
1777072352.407022,46607,1072782,4,0,0,0,0
1777072352.498062,46608,1072873,0,0,0,0,0
1777072352.586943,46609,1072962,0,0,0,0,0
1777072352.676973,46610,1073052,0,0,0,0,0
1777072352.767915,46611,1073142,0,0,0,0,0
1777072352.857925,46612,1073232,0,0,0,0,0
1777072352.946975,46613,1073322,0,0,0,0,0
1777072353.037091,46614,1073413,0,0,0,0,0
1777072353.126936,46615,1073502,0,0,0,0,0
1777072353.217144,46616,1073592,0,0,0,0,0
1777072353.306958,46617,1073682,0,0,0,0,0
1777072353.397089,46618,1073772,0,0,0,0,0
1777072353.487193,46619,1073862,174,0,0,0,2
1777072353.576955,46620,1073953,476,0,0,0,1
1777072353.667194,46621,1074042,816,0,0,0,0
1777072353.757205,46622,1074132,1568,857,0,0,0
1777072353.847109,46623,1074222,1855,1240,0,0,0
1777072353.936928,46624,1074312,2081,1555,0,0,0
1777072354.027936,46625,1074402,2222,1836,0,0,0
1777072354.117987,46626,1074493,2373,1948,135,0,0
1777072354.207972,46627,1074583,2502,2097,815,0,0
1777072354.297113,46628,1074672,2488,2036,918,0,705
1777072354.432278,46630,1074872,2440,1991,824,0,0
1777072354.522280,46631,1074897,2437,1985,817,0,0
1777072354.612059,46632,1074987,2452,1944,839,0,0
1777072354.702277,46633,1075078,2448,1975,863,0,0
1777072354.792022,46634,1075167,2453,2009,915,0,0
1777072354.883977,46635,1075257,2429,2059,910,0,0
1777072354.972277,46636,1075347,2412,2188,824,0,0
1777072355.107274,46637,1075437,2422,2187,850,0,0
1777072355.197273,46639,1075636,2430,2078,1071,0,0
1777072355.287187,46640,1075663,2421,2063,1073,0,0
1777072355.377058,46641,1075752,2442,2050,1071,0,0
1777072355.467198,46642,1075842,2437,2072,1078,0,0
1777072355.557225,46643,1075932,2441,2054,1103,0,0
1777072355.647282,46644,1076022,2439,2038,1107,0,0
1777072355.737178,46645,1076113,2454,1963,1113,0,0
1777072355.827282,46646,1076203,2477,1775,1213,0,1
1777072355.917008,46647,1076292,2487,1725,1221,0,0
1777072356.007257,46648,1076382,2487,1730,1209,0,0
1777072356.097283,46649,1076472,2459,1699,1190,0,0
1777072356.186928,46650,1076562,2459,1587,1199,0,0
1777072356.277265,46651,1076652,2457,1576,1155,0,0
1777072356.367163,46652,1076743,2478,1576,1044,0,0
1777072356.457086,46653,1076832,2483,1662,1037,0,0
1777072356.547213,46654,1076921,2495,1734,1090,0,0
1777072356.636987,46655,1077011,2494,1712,1062,0,0
1777072356.726979,46656,1077101,2484,1768,1084,0,0
1777072356.817187,46657,1077191,2498,1837,1079,0,0
1777072356.952268,46658,1077283,2491,1919,878,0,0
1777072357.042201,46660,1077482,2488,2060,727,0,0
1777072357.132153,46661,1077507,2487,2063,740,1,0
1777072357.222018,46662,1077597,2482,2099,733,1,0
1777072357.312293,46663,1077687,2483,2128,700,0,0
1777072357.402052,46664,1077778,2481,2163,664,0,0
1777072357.492159,46665,1077868,2488,2239,658,0,0
1777072357.581969,46666,1077958,2488,2284,683,0,0
1777072357.717273,46667,1078047,2464,2365,642,0,198
1777072357.807304,46669,1078247,2447,2388,525,0,181
1777072357.897264,46670,1078272,2456,2395,538,0,192
1777072357.987272,46671,1078363,2454,2419,568,0,200
1777072358.078148,46672,1078453,2447,2371,677,4,193
1777072358.167225,46673,1078542,2463,2352,816,0,0
1777072358.257275,46674,1078632,2458,2339,868,0,0
1777072358.347218,46675,1078722,2464,2254,1054,0,0
1777072358.437165,46676,1078812,2470,2218,1135,0,0
1777072358.527266,46677,1078903,2486,2189,1128,0,0
1777072358.617123,46678,1078993,2520,2111,912,0,0
1777072358.707260,46679,1079083,2501,2100,916,0,0
1777072358.797175,46680,1079172,2495,2078,921,0,1
1777072358.887277,46681,1079262,2497,2085,962,0,0
1777072358.977237,46682,1079352,2508,2083,960,0,0
1777072359.067060,46683,1079443,2519,2044,930,0,536
1777072359.157203,46684,1079533,2514,2070,834,0,436
1777072359.247292,46685,1079623,2517,2081,847,0,388
1777072359.337280,46686,1079712,2520,2077,887,0,401
1777072359.427257,46687,1079802,2507,2092,903,0,356
1777072359.517322,46688,1079892,2503,2095,917,0,301
1777072359.607276,46689,1079983,2511,2094,930,0,236
1777072359.697136,46690,1080073,2506,2083,922,0,127
1777072359.787261,46691,1080163,2507,2092,924,0,138
1777072359.876996,46692,1080252,2494,2078,886,0,0
1777072359.967247,46693,1080342,2430,1947,645,0,0
1777072360.057275,46694,1080432,2195,1477,345,0,0
1777072360.147299,46695,1080522,1212,0,0,0,0
1777072360.282331,46696,1080613,0,0,0,0,1
1777072360.372038,46698,1080811,0,0,0,0,0
1777072360.462271,46699,1080836,0,0,0,0,0
1777072360.551911,46700,1080926,0,0,0,0,0
1777072360.642168,46701,1081016,0,0,0,0,0
1777072360.731898,46702,1081108,0,0,0,0,0
1777072360.822143,46703,1081198,0,0,0,0,0
1777072360.912265,46704,1081288,0,0,0,0,0
1777072361.047270,46705,1081377,0,0,0,0,0
1777072361.137180,46707,1081577,4,0,0,0,0
1777072361.228068,46708,1081602,0,0,0,0,0
1777072361.317273,46709,1081693,0,0,0,0,0
1777072361.453141,46710,1081783,0,0,0,0,0
1777072361.496959,46711,1081873,0,0,0,0,1
1777072361.587162,46712,1081963,0,0,0,0,0
1777072361.677257,46713,1082052,0,0,0,0,0
1777072361.767111,46714,1082142,0,0,0,0,0
1777072361.857195,46715,1082233,0,0,0,0,0
1777072361.947036,46716,1082323,0,0,0,0,0
1777072362.037107,46717,1082413,0,0,0,0,0
1777072362.127194,46718,1082502,0,0,0,0,0
1777072362.217193,46719,1082592,0,0,0,0,0
1777072362.307996,46720,1082682,0,0,0,0,0
1777072362.397197,46721,1082773,0,0,0,0,0
1777072362.486976,46722,1082863,0,0,0,0,0
1777072362.579107,46723,1082953,0,1,0,7,0
1777072362.666997,46724,1083042,0,0,0,0,0
1777072362.757113,46725,1083132,0,0,0,0,0
1777072362.846967,46726,1083222,0,0,0,0,0
1777072362.937128,46727,1083313,0,0,0,0,0
1777072363.027181,46728,1083403,0,0,0,1,0
1777072363.117143,46729,1083493,0,0,0,0,0
1777072363.252199,46730,1083583,0,0,0,0,0
1777072363.342060,46732,1083782,0,0,0,0,0
1777072363.432224,46733,1083807,0,0,0,0,0
1777072363.522059,46734,1083898,0,0,0,0,0
1777072363.612200,46735,1083988,0,0,0,0,0
1777072363.703104,46736,1084078,0,0,0,8,0
1777072363.792199,46737,1084167,0,0,0,0,0
1777072363.883066,46738,1084257,0,0,0,0,0
1777072363.972114,46739,1084347,2,0,0,0,0
1777072364.061911,46740,1084438,1,0,0,0,0
1777072364.152164,46741,1084528,0,0,0,0,0
1777072364.242207,46742,1084618,0,0,0,0,0
1777072364.332240,46743,1084708,0,0,0,0,0
1777072364.422039,46744,1084797,0,0,0,0,0
1777072364.512222,46745,1084887,0,0,0,0,0
