host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1777072215.113022,35788,935567,6,0,0,0,0
1777072215.202101,35789,935577,0,0,0,0,0
1777072215.292120,35790,935663,0,0,3,0,0
1777072215.382220,35791,935752,0,0,0,0,0
1777072215.475019,35792,935843,0,0,0,0,0
1777072215.563164,35793,935933,0,0,0,0,0
1777072215.652097,35794,936023,0,0,0,0,0
1777072215.742097,35795,936113,0,0,4,0,0
1777072215.832169,35796,936203,0,0,0,0,0
1777072215.922138,35797,936292,0,0,0,0,0
1777072216.013429,35798,936382,0,0,0,0,0
1777072216.102077,35799,936473,0,0,0,0,0
1777072216.192118,35800,936562,0,0,0,0,0
1777072216.282249,35801,936652,0,0,0,0,0
1777072216.372295,35802,936742,0,0,0,0,0
1777072216.462187,35803,936832,13,0,0,0,6
1777072216.552003,35804,936921,0,0,0,0,0
1777072216.642129,35805,937013,0,0,0,0,0
1777072216.732207,35806,937103,0,1,0,0,0
1777072216.822202,35807,937193,0,0,0,0,0
1777072216.912202,35808,937283,0,0,0,0,0
1777072217.002145,35809,937373,0,0,0,0,7
1777072217.092048,35810,937462,0,0,0,0,0
1777072217.181959,35811,937553,0,0,0,0,4
1777072217.272219,35812,937643,0,0,0,0,0
1777072217.362216,35813,937733,0,0,0,0,0
1777072217.452194,35814,937823,0,0,0,0,0
1777072217.542195,35815,937913,0,0,0,0,0
1777072217.632123,35816,938002,0,0,0,0,0
1777072217.722223,35817,938093,0,0,0,0,0
1777072217.813205,35818,938183,2,0,2,0,0
1777072217.902211,35819,938273,0,0,0,0,0
1777072217.992230,35820,938363,0,0,0,0,0
1777072218.082220,35821,938453,0,0,0,0,0
1777072218.172125,35822,938542,0,0,0,0,0
1777072218.352188,35823,938633,0,0,5,0,0
1777072218.487034,35826,938942,0,0,0,0,0
1777072218.577197,35827,938952,0,0,0,0,0
1777072218.667179,35828,939038,2,0,0,0,0
1777072218.757175,35829,939127,0,0,0,0,0
1777072218.847278,35830,939218,0,0,0,0,0
1777072218.938212,35831,939308,0,0,0,0,0
1777072219.027109,35832,939398,0,0,0,0,0
1777072219.117114,35833,939488,0,0,0,0,0
1777072219.208065,35834,939578,0,0,0,0,0
1777072219.296997,35835,939667,0,0,0,0,0
1777072219.387028,35836,939758,0,0,0,0,0
1777072219.477123,35837,939848,0,0,0,0,0
1777072219.566969,35838,939938,0,0,0,0,0
1777072219.657286,35839,940028,0,0,0,0,0
1777072219.747010,35840,940118,0,0,0,0,0
1777072219.837117,35841,940208,0,0,0,0,0
1777072219.927097,35842,940298,0,0,0,0,0
1777072220.016910,35843,940388,352,0,0,0,0
1777072220.107272,35844,940478,716,0,0,0,0
1777072220.197276,35845,940568,839,0,0,0,0
1777072220.287041,35846,940658,965,0,5,0,0
1777072220.377306,35847,940748,1160,0,0,0,0
1777072220.467277,35848,940838,1787,0,0,0,0
1777072220.557162,35849,940928,2015,262,0,1,0
1777072220.692251,35850,941018,2064,1520,0,0,0
1777072220.783014,35852,941217,2136,1051,0,0,0
1777072220.872123,35853,941243,2060,744,0,0,0
1777072220.962260,35854,941333,1855,0,0,0,0
1777072221.052271,35855,941423,1051,0,0,0,0
1777072221.143061,35856,941513,0,0,0,0,0
1777072221.232254,35857,941603,0,0,0,0,0
1777072221.325054,35858,941693,0,0,0,0,0
1777072221.412300,35859,941783,0,0,0,0,0
1777072221.502270,35860,941873,0,0,0,0,0
1777072221.592047,35861,941963,0,1273,0,0,0
1777072221.727960,35863,942163,942,2232,998,0,0
1777072221.817061,35864,942188,1044,2331,1162,0,0
1777072221.907128,35865,942278,1288,2497,1690,0,0
1777072221.997265,35866,942368,1380,2562,2023,0,0
1777072222.087264,35867,942458,1717,2655,2157,0,0
1777072222.177065,35868,942548,1703,2748,2198,0,0
1777072222.267280,35869,942637,1892,2800,2292,0,0
1777072222.357277,35870,942727,1985,2783,2369,0,0
1777072222.447101,35871,942817,1900,2818,2407,0,0
1777072222.537262,35872,942907,1916,2839,2428,0,0
1777072222.626901,35873,942997,2014,2888,2399,0,0
1777072222.717282,35874,943088,2107,2872,2409,1,0
1777072222.807238,35875,943178,2147,2875,2449,0,0
1777072222.897948,35876,943268,2065,0,2446,0,0
1777072222.987279,35877,943358,2120,2851,2418,0,0
1777072223.077263,35878,943448,2150,2881,2491,0,0
