host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778611960.434534,241099,5137387,0,0,0,0,0
1778611960.524164,241100,5137397,2,0,0,2,0
1778611960.614136,241101,5137482,0,0,0,0,14
1778611960.704155,241102,5137572,0,0,0,0,0
1778611960.794111,241103,5137662,0,0,0,0,0
1778611960.884049,241104,5137751,0,0,0,0,0
1778611960.974164,241105,5137841,0,0,0,0,0
1778611961.065955,241106,5137932,0,0,0,0,2
1778611961.155060,241107,5138022,0,0,0,0,0
1778611961.245158,241108,5138112,0,0,0,0,0
1778611961.334156,241109,5138202,3,0,0,0,0
1778611961.424160,241110,5138291,0,0,0,0,0
1778611961.514182,241111,5138381,0,0,1,0,0
1778611961.604072,241112,5138472,0,0,0,0,0
1778611961.694155,241113,5138562,1,6,0,0,0
1778611961.784057,241114,5138652,0,0,0,0,0
1778611961.874169,241115,5138742,0,0,0,0,0
1778611961.964018,241116,5138832,0,0,0,0,0
1778611962.099167,241117,5138921,0,0,0,0,1
1778611962.234160,241119,5139122,0,0,0,0,0
1778611962.324169,241121,5139256,0,0,1,0,0
1778611962.414156,241122,5139282,0,0,0,0,0
1778611962.504150,241123,5139372,0,0,4,0,0
1778611962.594166,241124,5139461,0,0,0,0,0
1778611962.684100,241125,5139552,0,0,0,0,0
1778611962.774228,241126,5139642,0,0,0,0,3
1778611962.864228,241127,5139732,0,0,0,0,0
1778611963.134231,241128,5139822,0,0,1,0,0
1778611963.224228,241131,5140130,0,0,0,8,0
1778611963.359221,241132,5140182,0,0,0,0,0
1778611963.449111,241134,5140381,0,0,0,1,0
1778611963.540171,241135,5140407,0,0,0,0,0
1778611963.629152,241136,5140497,0,0,0,0,0
1778611963.719999,241137,5140586,0,0,0,0,0
1778611963.809162,241138,5140677,181,0,0,0,0
1778611963.989193,241139,5140767,0,0,0,0,0
1778611964.079226,241141,5140966,0,0,0,0,0
1778611964.214906,241142,5141037,0,0,0,0,0
1778611964.349214,241144,5141236,0,0,2,12,0
1778611964.439080,241146,5141372,0,0,0,0,0
1778611964.529216,241147,5141397,0,0,0,0,0
1778611964.619237,241148,5141487,0,0,0,0,0
1778611964.709032,241149,5141577,0,9,0,0,0
1778611964.845227,241150,5141666,0,0,0,0,0
1778611964.934228,241152,5141867,0,0,0,0,0
1778611965.024209,241153,5141891,0,0,0,0,0
1778611965.114213,241154,5141981,0,5,0,0,0
1778611965.204201,241155,5142071,0,0,0,0,0
1778611965.293893,241156,5142161,0,0,0,0,0
1778611965.384102,241157,5142250,0,0,0,0,0
1778611965.474247,241158,5142342,0,0,0,0,0
1778611965.564212,241159,5142432,20,0,0,0,0
1778611965.654085,241160,5142522,0,0,4,0,0
1778611965.744220,241161,5142612,0,0,20,0,1
1778611965.879243,241163,5142811,0,0,0,0,0
1778611965.971213,241164,5142837,0,0,0,0,0
1778611966.105201,241165,5142927,2,0,0,0,17
1778611966.284880,241168,5143236,0,0,0,0,0
1778611966.374212,241169,5143246,0,0,0,0,0
1778611966.464931,241170,5143332,0,0,0,0,0
1778611966.555209,241171,5143422,0,0,1,0,0
1778611966.645240,241172,5143512,0,0,0,0,0
1778611966.735200,241173,5143602,0,0,0,0,0
1778611966.826958,241174,5143692,0,0,0,0,0
1778611966.960216,241175,5143782,0,0,0,0,0
1778611967.050217,241177,5143981,0,0,0,0,0
1778611967.140219,241178,5144007,0,0,0,0,0
