host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1777072754.572019,72151,1475046,0,0,0,0,0
1777072754.661274,72152,1475056,0,0,0,0,0
1777072754.751031,72153,1475140,0,0,0,0,0
1777072754.840905,72154,1475230,0,0,0,0,0
1777072754.930953,72155,1475320,0,0,2,0,0
1777072755.020913,72156,1475411,0,16,0,0,0
1777072755.111908,72157,1475500,0,0,0,0,0
1777072755.201013,72158,1475590,0,0,0,0,0
1777072755.291085,72159,1475680,0,0,4,0,0
1777072755.381061,72160,1475770,0,0,0,1,0
1777072755.470882,72161,1475860,0,0,0,0,1
1777072755.561134,72162,1475951,0,0,0,0,0
1777072755.651264,72163,1476041,0,0,0,0,0
1777072755.741195,72164,1476130,0,0,0,0,0
1777072755.831059,72165,1476220,0,0,0,0,0
1777072755.921252,72166,1476310,0,0,0,0,0
1777072756.011026,72167,1476400,0,0,0,0,0
1777072756.101326,72168,1476491,0,0,0,0,0
1777072756.191363,72169,1476581,0,0,0,0,0
1777072756.281272,72170,1476670,0,0,0,0,0
1777072756.371150,72171,1476760,0,0,0,0,0
1777072756.461246,72172,1476850,4,0,0,0,0
1777072756.550956,72173,1476940,0,0,0,0,0
1777072756.642255,72174,1477031,1,0,0,0,0
1777072756.731167,72175,1477121,0,0,0,0,0
1777072756.821187,72176,1477210,0,0,0,0,0
1777072756.912254,72177,1477300,0,1,0,0,0
1777072757.001926,72178,1477390,0,0,0,0,0
1777072757.091180,72179,1477480,0,0,0,0,0
1777072757.182191,72180,1477571,0,0,0,0,0
1777072757.271182,72181,1477661,0,0,0,0,0
1777072757.361202,72182,1477750,0,0,0,0,0
1777072757.451062,72183,1477840,0,0,0,0,0
1777072757.541881,72184,1477930,0,0,0,0,0
1777072757.631173,72185,1478020,0,0,0,0,0
1777072757.721241,72186,1478110,0,0,0,0,0
1777072757.811328,72187,1478201,0,0,0,0,0
1777072757.901304,72188,1478291,0,0,0,0,0
1777072757.991296,72189,1478380,0,0,1,0,0
1777072758.080980,72190,1478470,0,0,0,0,0
1777072758.171212,72191,1478560,0,0,0,0,0
1777072758.261202,72192,1478650,0,0,0,0,0
1777072758.396179,72193,1478741,0,0,0,0,0
1777072758.486333,72195,1478940,0,0,0,0,0
1777072758.577198,72196,1478965,0,0,0,0,0
1777072758.666318,72197,1479055,0,0,0,0,0
1777072758.757089,72199,1479254,0,0,626,0,0
1777072758.846168,72200,1479281,0,0,688,0,0
1777072758.936324,72201,1479326,1,0,787,0,0
1777072759.026186,72202,1479416,0,0,831,0,0
1777072759.118152,72203,1479505,0,0,894,0,0
1777072759.206295,72204,1479595,0,0,1019,0,2
1777072759.296201,72205,1479685,0,0,1038,2,0
1777072759.386315,72206,1479775,4,0,991,0,0
1777072759.476301,72207,1479866,0,0,979,0,0
1777072759.566149,72208,1479955,2,8,1022,0,0
1777072759.658924,72209,1480044,0,311,1033,0,0
1777072759.791326,72210,1480134,0,447,1039,0,0
1777072759.881134,72212,1480333,0,726,1197,0,0
1777072759.971298,72213,1480361,0,779,1218,0,0
1777072760.061308,72214,1480451,0,838,1232,0,0
1777072760.151036,72215,1480541,0,847,1211,0,0
1777072760.242198,72216,1480630,2,883,1177,0,0
1777072760.332129,72217,1480720,0,912,1160,0,0
1777072760.421909,72218,1480810,0,942,1175,0,0
1777072760.511169,72219,1480901,0,950,1152,0,0
1777072760.601216,72220,1480991,3107,958,1179,0,0
1777072760.691104,72221,1481081,3112,959,1204,0,0
1777072760.781315,72222,1481170,3110,962,1229,0,0
1777072760.871018,72223,1481260,3118,958,1255,0,0
1777072761.006221,72224,1481350,3128,953,1275,0,0
1777072761.096178,72226,1481550,3138,1103,1344,1,0
1777072761.187299,72227,1481576,3134,1132,1344,0,0
1777072761.277112,72228,1481666,3151,1160,1356,0,0
1777072761.366306,72229,1481755,3142,1171,1350,0,2
1777072761.456315,72230,1481845,3146,1218,1383,0,0
1777072761.546184,72231,1481935,3158,1268,1410,0,0
1777072761.636197,72232,1482026,3168,1341,1424,0,0
1777072761.726332,72233,1482116,3175,1625,1445,0,0
1777072761.816268,72234,1482206,3172,1669,1474,0,0
1777072761.906253,72235,1482295,3175,1682,1502,0,0
1777072761.996274,72236,1482385,3185,1698,1518,0,0
1777072762.086324,72237,1482475,3175,1694,1522,0,0
1777072762.176306,72238,1482566,3191,1696,1519,0,0
1777072762.266349,72239,1482656,3211,1715,1526,0,0
1777072762.356321,72240,1482746,3248,1791,1520,0,0
1777072762.446301,72241,1482835,3264,1888,1528,0,0
1777072762.536333,72242,1482925,3270,1923,1551,0,0
1777072762.626315,72243,1483015,3288,1995,1559,0,0
1777072762.717143,72244,1483106,3297,1996,1608,0,0
1777072762.806328,72245,1483196,3286,2007,1621,0,0
1777072762.896364,72246,1483286,3296,2011,1647,0,0
1777072762.986278,72247,1483375,3292,2006,1709,0,0
1777072763.076292,72248,1483465,3294,1983,1737,0,0
1777072763.167320,72249,1483555,3291,1948,1758,0,0
1777072763.256402,72250,1483646,3298,1937,1703,0,0
1777072763.346365,72251,1483736,3285,1911,1703,0,0
1777072763.482352,72252,1483826,3277,1847,1692,0,0
1777072763.572234,72254,1484025,3265,1792,1537,0,0
1777072763.661325,72255,1484050,3261,1772,1530,0,0
1777072763.751354,72256,1484140,3248,1734,1415,0,0
1777072763.841326,72257,1484231,3240,1547,1328,0,0
1777072763.932126,72258,1484321,3232,1359,1144,0,0
1777072764.022361,72259,1484411,3184,639,903,0,0
1777072764.110867,72260,1484500,2664,0,341,7,0
1777072764.201295,72261,1484590,0,0,0,0,0
1777072764.292317,72262,1484680,0,0,0,0,0
1777072764.381305,72263,1484771,0,0,0,0,0
1777072764.471233,72264,1484861,0,0,0,0,0
1777072764.561192,72265,1484951,0,0,0,0,0
1777072764.651302,72266,1485041,0,0,0,0,0
1777072764.742043,72267,1485130,0,0,0,0,0
1777072764.831973,72268,1485220,0,0,0,0,0
1777072764.921048,72269,1485311,0,2,0,0,0
1777072765.010943,72270,1485401,0,0,0,0,0
1777072765.101373,72271,1485491,0,0,0,0,0
1777072765.191344,72272,1485581,0,0,0,0,0
1777072765.281280,72273,1485670,0,0,0,0,0
1777072765.371320,72274,1485760,0,0,0,0,0
1777072765.461169,72275,1485851,0,0,0,0,0
1777072765.552298,72276,1485941,4,12,0,0,0
1777072765.641054,72277,1486030,0,0,0,0,1
1777072765.731145,72278,1486120,0,0,0,0,0
1777072765.821217,72279,1486209,0,0,0,0,0
1777072765.911297,72280,1486299,0,0,0,0,0
1777072766.002127,72281,1486389,0,0,0,0,0
1777072766.091941,72282,1486481,0,0,0,0,0
1777072766.181869,72283,1486571,0,0,0,0,0
1777072766.271105,72284,1486661,0,0,0,0,0
1777072766.360964,72285,1486750,0,0,0,0,0
1777072766.451090,72286,1486840,0,0,0,0,0
1777072766.541019,72287,1486930,0,0,0,0,0
1777072766.631111,72288,1487021,0,0,0,0,2
1777072766.722074,72289,1487111,0,0,0,1,0
1777072766.811003,72290,1487201,0,0,0,0,0
1777072766.900963,72291,1487291,0,0,0,0,0
1777072766.990995,72292,1487380,0,0,0,0,0
1777072767.081852,72293,1487470,0,0,0,0,0
1777072767.171249,72294,1487561,0,3,0,0,0
1777072767.261306,72295,1487651,0,0,0,1,0
1777072767.351279,72296,1487741,0,4,0,0,0
1777072767.441243,72297,1487831,0,0,0,0,0
1777072767.531290,72298,1487920,0,3,0,0,0
1777072767.621147,72299,1488010,0,0,0,0,1
1777072767.711329,72300,1488101,0,3,0,0,0
1777072767.801220,72301,1488191,0,0,0,0,0
1777072767.891294,72302,1488281,0,0,0,0,0
1777072767.981097,72303,1488371,0,0,0,0,0
1777072768.070958,72304,1488460,0,0,0,0,0
1777072768.161937,72305,1488550,0,0,0,0,0
1777072768.251259,72306,1488641,0,0,0,0,0
1777072768.341047,72307,1488731,1,0,0,0,0
1777072768.431301,72308,1488821,0,0,0,0,0
1777072768.521176,72309,1488911,0,0,0,0,0
1777072768.611302,72310,1489000,0,0,0,0,0
1777072768.701157,72311,1489090,0,0,0,0,0
1777072768.791298,72312,1489181,0,0,0,0,0
1777072768.881298,72313,1489271,0,0,0,0,0
1777072768.972229,72314,1489361,0,0,0,0,0
1777072769.061290,72315,1489451,0,0,0,0,0
1777072769.151238,72316,1489541,0,0,0,0,0
1777072769.241095,72317,1489630,0,0,0,0,0
1777072769.331292,72318,1489721,8,0,0,0,0
1777072769.421290,72319,1489811,0,0,0,0,0
1777072769.511297,72320,1489901,10,0,0,0,0
