host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778611345.359682,205966,4522310,0,0,0,0,14
1778611345.448943,205967,4522320,0,0,0,0,0
1778611345.538979,205968,4522402,0,0,0,0,0
1778611345.629141,205969,4522492,0,0,0,0,0
1778611345.719126,205970,4522583,0,0,0,0,0
1778611345.808954,205971,4522672,0,0,0,0,4
1778611345.899047,205972,4522762,0,2,0,0,0
1778611345.988894,205973,4522852,0,0,0,0,0
1778611346.079225,205974,4522942,0,0,0,0,0
1778611346.169235,205975,4523032,0,0,0,0,2
1778611346.259190,205976,4523123,0,0,0,0,0
1778611346.349169,205977,4523212,0,0,6,0,0
1778611346.440189,205978,4523302,1,0,0,0,8
1778611346.529160,205979,4523392,0,0,0,0,0
1778611346.619128,205980,4523482,0,0,0,0,0
1778611346.709164,205981,4523572,0,0,0,0,0
1778611346.798966,205982,4523663,0,0,0,0,0
1778611346.934165,205983,4523751,0,0,0,0,0
1778611347.024039,205985,4523951,0,0,0,0,0
1778611347.113921,205986,4523976,0,0,0,0,0
1778611347.204162,205987,4524066,0,0,0,0,0
1778611347.294158,205988,4524156,0,0,0,0,4
1778611347.383969,205989,4524248,0,0,0,0,0
1778611347.474167,205990,4524336,0,0,0,0,0
1778611347.610167,205992,4524536,0,0,0,0,0
1778611347.699158,205993,4524561,0,0,0,0,0
1778611347.789161,205994,4524651,0,0,0,0,0
1778611347.879156,205995,4524743,2,0,0,0,0
1778611347.968977,205996,4524833,0,0,0,0,0
1778611348.059227,205997,4524922,0,0,0,0,0
1778611348.149103,205998,4525012,0,0,0,0,0
1778611348.239229,205999,4525102,0,0,0,0,0
1778611348.329229,206000,4525192,0,0,0,0,0
1778611348.419028,206001,4525283,0,0,0,0,0
1778611348.509230,206002,4525373,0,2,0,1,0
1778611348.599183,206003,4525462,0,0,0,0,0
1778611348.689207,206004,4525552,0,0,0,0,0
1778611348.779236,206005,4525642,0,0,0,0,0
1778611348.914540,206006,4525732,0,0,0,0,0
1778611349.004186,206008,4525932,0,0,0,0,0
1778611349.094203,206009,4525958,0,0,0,0,0
1778611349.184242,206010,4526047,0,0,0,0,0
