host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778611990.495394,242357,5167453,0,0,0,0,0
1778611990.584870,242358,5167462,0,0,0,0,0
1778611990.674947,242359,5167542,0,0,0,3,0
1778611990.765054,242360,5167632,0,0,0,0,0
1778611990.855900,242361,5167723,0,0,0,0,0
1778611990.944953,242362,5167813,0,0,0,0,0
1778611991.035022,242363,5167903,0,0,0,0,0
1778611991.125225,242364,5167993,0,0,0,0,0
1778611991.214986,242365,5168083,0,0,5,0,0
1778611991.349852,242366,5168172,0,0,0,0,0
1778611991.443983,242368,5168373,0,0,0,0,0
1778611991.530226,242369,5168398,0,2,0,0,0
1778611991.620275,242370,5168488,0,0,0,0,0
1778611991.710226,242371,5168578,0,0,0,0,0
1778611991.800229,242372,5168667,0,0,0,1,0
1778611991.891177,242373,5168757,0,0,0,0,0
1778611991.980234,242374,5168848,0,0,0,3,3
1778611992.070219,242375,5168938,0,0,0,0,0
1778611992.160148,242376,5169028,0,0,1,0,0
1778611992.250137,242377,5169118,0,0,0,0,0
1778611992.340231,242378,5169208,0,0,0,0,0
1778611992.430865,242379,5169297,0,0,0,0,0
1778611992.564930,242380,5169388,0,0,0,0,0
1778611992.655071,242382,5169587,0,0,0,5,2
1778611992.745042,242383,5169613,0,0,0,0,2
1778611992.835171,242384,5169703,2,0,0,0,4
1778611992.925216,242385,5169792,0,0,0,0,0
1778611993.015234,242386,5169882,0,0,0,0,0
1778611993.105223,242387,5169973,0,0,0,0,0
1778611993.195231,242388,5170063,0,1,0,0,0
1778611993.285229,242389,5170153,0,0,0,0,0
1778611993.464848,242391,5170352,0,0,0,0,0
1778611993.555217,242393,5170487,0,0,0,0,0
1778611993.645219,242394,5170513,0,0,0,0,4
1778611993.735215,242395,5170603,0,0,0,0,0
1778611993.825212,242396,5170693,0,0,0,0,0
1778611993.960216,242398,5170892,0,0,0,0,5
1778611994.050081,242399,5170917,0,0,0,0,0
1778611994.140229,242400,5171008,0,0,0,0,0
1778611994.230216,242401,5171098,0,0,0,2,0
1778611994.320238,242402,5171188,0,0,0,1,0
1778611994.410217,242403,5171278,0,0,0,1,0
1778611994.499994,242404,5171368,0,0,0,0,0
1778611994.680193,242406,5171567,0,0,0,0,0
1778611994.770255,242408,5171703,0,0,9,0,0
1778611994.860217,242409,5171727,0,0,0,0,0
1778611994.949982,242410,5171817,0,0,0,0,0
1778611995.040017,242411,5171907,0,0,0,0,0
1778611995.130236,242412,5171997,0,0,0,0,0
1778611995.220223,242413,5172086,0,1,0,0,0
1778611995.310241,242414,5172178,0,0,0,0,0
1778611995.400244,242415,5172268,0,0,0,0,0
1778611995.489971,242416,5172358,0,0,0,0,2
1778611995.582935,242417,5172448,0,0,0,0,0
1778611995.670204,242418,5172538,0,0,0,0,0
1778611995.759836,242419,5172627,0,0,0,0,0
1778611995.850221,242420,5172718,0,8,0,0,0
1778611996.030170,242421,5172808,0,0,0,0,0
1778611996.120049,242423,5173007,0,0,0,7,0
1778611996.210227,242424,5173078,3,0,0,0,0
1778611996.300222,242425,5173167,0,0,0,0,0
1778611996.390243,242426,5173258,0,0,0,0,0
1778611996.525227,242427,5173348,0,0,0,0,0
1778611996.615993,242429,5173547,0,0,0,0,0
1778611996.705222,242430,5173573,0,0,0,0,0
1778611996.795225,242431,5173663,0,0,0,0,0
1778611996.930225,242433,5173862,0,0,0,0,0
1778611997.020236,242434,5173888,0,0,0,0,0
1778611997.110090,242435,5173978,0,0,0,0,0
1778611997.201000,242436,5174068,0,0,0,0,0
1778611997.290220,242437,5174158,0,0,0,0,0
1778611997.380230,242438,5174248,0,0,0,2,0
1778611997.470092,242439,5174338,0,0,0,0,0
1778611997.605226,242440,5174428,0,0,0,0,0
1778611997.694981,242442,5174627,0,0,0,0,0
1778611997.830226,242443,5174653,0,0,0,0,0
1778611997.920215,242445,5174852,4,0,0,0,0
1778611998.011039,242446,5174878,0,0,0,0,0
1778611998.100190,242447,5174968,0,0,0,0,0
1778611998.190995,242448,5175058,0,0,0,0,0
1778611998.280222,242449,5175148,0,0,0,0,0
1778611998.370087,242450,5175238,0,0,0,0,0
1778611998.460258,242451,5175328,0,0,0,0,0
1778611998.550220,242452,5175417,0,0,0,0,0
1778611998.640234,242453,5175508,0,0,0,0,0
1778611998.730022,242454,5175597,0,0,0,0,0
1778611998.820220,242455,5175687,0,0,0,0,0
1778611998.910081,242456,5175777,0,0,0,0,3
1778611999.000222,242457,5175867,0,0,0,0,0
1778611999.090223,242458,5175957,0,3,0,0,0
1778611999.180211,242459,5176048,0,0,0,0,1
1778611999.315183,242460,5176138,0,0,0,3,0
1778611999.450023,242462,5176337,0,0,0,0,0
1778611999.540216,242464,5176472,0,0,0,0,0
1778611999.675217,242465,5176499,0,0,0,0,0
1778611999.810240,242467,5176698,0,0,0,0,0
1778611999.900146,242469,5176833,0,0,2,0,0
1778611999.990228,242470,5176858,0,0,2,3,0
1778612000.080238,242471,5176948,0,0,0,0,0
1778612000.170072,242472,5177038,0,0,0,0,0
1778612000.260236,242473,5177128,0,0,2,0,0
1778612000.350209,242474,5177218,0,0,0,0,1
1778612000.440126,242475,5177308,0,0,1,0,0
1778612000.530239,242476,5177398,0,0,0,1,0
1778612000.620210,242477,5177488,0,0,0,0,0
1778612000.710217,242478,5177578,0,0,0,0,0
1778612000.801953,242479,5177668,0,0,0,0,0
1778612000.935096,242480,5177758,0,0,0,0,0
1778612001.025243,242482,5177958,0,0,2,0,1
1778612001.115225,242483,5177983,0,0,0,0,0
1778612001.205215,242484,5178073,0,0,0,0,0
1778612001.295223,242485,5178163,0,0,0,0,0
1778612001.385297,242486,5178253,0,0,0,0,0
