host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778610723.806702,156501,3900745,0,0,0,0,0
1778610723.895962,156502,3900754,0,0,0,0,0
1778610723.986051,156503,3900842,0,0,0,0,0
1778610724.120964,156504,3900933,0,0,0,0,0
1778610724.212144,156506,3901132,0,2,0,0,0
1778610724.301047,156507,3901158,0,0,0,0,0
1778610724.391276,156508,3901248,0,0,0,0,0
1778610724.480969,156509,3901337,0,0,0,0,0
1778610724.571060,156510,3901427,0,0,0,5,0
1778610724.661219,156511,3901518,2,0,1,0,0
1778610724.751123,156512,3901607,0,2,0,0,0
1778610724.841239,156513,3901697,0,0,0,0,0
1778610724.931235,156514,3901787,0,0,2,0,0
1778610725.021255,156515,3901876,0,0,0,0,0
1778610725.111221,156516,3901966,0,0,0,0,0
1778610725.201312,156517,3902058,0,0,0,0,0
1778610725.291238,156518,3902148,0,0,1,0,0
1778610725.381081,156519,3902238,0,0,8,0,0
1778610725.471221,156520,3902328,0,0,0,0,0
1778610725.561069,156521,3902417,7,0,0,0,0
1778610725.651226,156522,3902507,0,0,0,0,0
1778610725.741228,156523,3902598,0,0,0,0,0
1778610725.831234,156524,3902688,0,0,0,0,0
1778610725.921228,156525,3902778,0,0,0,0,0
1778610726.011226,156526,3902868,0,0,0,0,0
1778610726.101229,156527,3902958,0,0,0,0,0
1778610726.191212,156528,3903047,0,0,0,0,0
1778610726.281224,156529,3903138,4,5,0,0,0
1778610726.371240,156530,3903228,0,0,0,0,0
1778610726.461246,156531,3903318,0,0,0,0,0
1778610726.551217,156532,3903408,0,5,0,0,0
1778610726.641209,156533,3903498,0,0,0,0,1
1778610726.776072,156534,3903587,0,1,0,0,0
1778610726.866122,156536,3903788,0,0,0,0,0
1778610726.956102,156537,3903813,0,2,0,0,0
1778610727.046249,156538,3903903,0,0,0,0,0
1778610727.136204,156539,3903993,0,0,0,0,2
1778610727.271225,156541,3904192,16,0,0,0,0
1778610727.406239,156542,3904218,0,0,0,0,0
1778610727.496067,156544,3904417,0,0,0,0,0
1778610727.586228,156545,3904443,0,0,0,0,0
1778610727.676142,156546,3904533,0,0,0,0,0
1778610727.766155,156547,3904623,0,2,0,0,0
1778610727.856219,156548,3904712,0,0,0,0,0
1778610727.946235,156549,3904803,0,0,0,0,3
1778610728.036229,156550,3904893,0,0,0,0,0
1778610728.126217,156551,3904983,0,0,0,0,0
1778610728.216221,156552,3905073,0,1,0,3,0
1778610728.306227,156553,3905163,0,0,0,0,0
1778610728.395998,156554,3905252,0,0,0,0,0
1778610728.486259,156555,3905343,0,0,0,0,0
1778610728.576232,156556,3905433,0,0,0,0,0
1778610728.666216,156557,3905523,0,0,0,0,0
1778610728.756345,156558,3905613,0,0,0,0,0
1778610728.846006,156559,3905703,0,0,0,1,0
1778610728.981228,156561,3905902,0,0,2,1,0
1778610729.071225,156562,3905928,0,0,4,2,0
1778610729.161941,156563,3906018,0,0,0,0,0
1778610729.251223,156564,3906108,0,0,0,0,0
1778610729.341222,156565,3906198,0,0,0,0,0
1778610729.431206,156566,3906288,0,0,0,1,0
1778610729.521095,156567,3906377,0,0,0,0,0
1778610729.611214,156568,3906468,0,0,0,0,0
1778610729.701150,156569,3906558,1,10,0,0,0
1778610729.792017,156570,3906648,0,0,0,0,0
1778610729.881154,156571,3906738,0,0,0,1,0
1778610729.971014,156572,3906828,0,0,0,0,0
1778610730.061154,156573,3906917,0,0,0,0,0
1778610730.151151,156574,3907008,0,0,0,0,0
1778610730.241055,156575,3907098,0,0,0,0,0
1778610730.331158,156576,3907188,0,2,2,0,0
1778610730.421157,156577,3907278,0,0,2,0,0
1778610730.511988,156578,3907368,0,0,0,0,0
1778610730.601166,156579,3907458,0,0,0,0,0
1778610730.691134,156580,3907548,0,0,0,0,0
1778610730.781170,156581,3907638,0,0,0,0,0
1778610730.871070,156582,3907728,0,0,0,0,0
1778610730.961165,156583,3907818,0,0,0,0,0
1778610731.050953,156584,3907908,0,0,0,0,0
1778610731.141183,156585,3907998,0,0,0,0,0
1778610731.231086,156586,3908088,0,0,0,0,0
1778610731.321049,156587,3908178,0,0,0,0,0
1778610731.412022,156588,3908268,0,0,0,0,0
1778610731.500975,156589,3908358,0,0,0,0,0
1778610731.591172,156590,3908448,0,0,0,0,0
1778610731.681151,156591,3908538,0,0,0,0,3
1778610731.771167,156592,3908628,0,0,0,0,0
1778610731.906147,156593,3908718,0,0,0,8,0
1778610731.996172,156595,3908917,0,0,0,0,0
1778610732.086964,156596,3908943,0,0,0,0,0
1778610732.176158,156597,3909033,0,0,0,1,0
1778610732.266163,156598,3909123,0,0,0,0,0
1778610732.401165,156599,3909213,0,0,2,0,0
1778610732.491016,156601,3909413,0,0,0,0,0
1778610732.580947,156602,3909438,0,0,0,1,0
1778610732.671155,156603,3909528,0,0,0,0,0
1778610732.761128,156604,3909618,0,0,0,0,0
1778610732.851222,156605,3909708,0,0,0,0,0
1778610732.941211,156606,3909798,0,0,0,0,0
1778610733.031238,156607,3909888,0,0,0,0,0
1778610733.121934,156608,3909978,0,0,0,0,0
1778610733.211187,156609,3910068,0,4,0,0,0
1778610733.301126,156610,3910158,0,0,0,2,0
1778610733.391221,156611,3910248,0,0,0,0,0
1778610733.481228,156612,3910338,0,0,0,0,0
1778610733.572219,156613,3910428,0,0,0,1,0
1778610733.661136,156614,3910518,0,0,0,0,0
1778610733.796235,156615,3910608,0,0,0,0,0
1778610733.886032,156617,3910807,0,0,0,0,0
1778610733.976226,156618,3910833,0,0,0,0,0
1778610734.066131,156619,3910923,0,2,0,0,0
1778610734.156817,156620,3911013,0,0,0,0,0
1778610734.246237,156621,3911103,0,0,0,4,0
1778610734.336273,156622,3911193,0,0,0,0,0
1778610734.426231,156623,3911283,0,0,0,0,0
1778610734.516236,156624,3911373,0,0,0,0,4
1778610734.606193,156625,3911463,0,0,0,0,0
1778610734.696052,156626,3911552,0,0,0,0,0
1778610734.786123,156627,3911642,0,0,0,0,0
1778610734.876215,156628,3911732,5,2,0,0,0
1778610734.966213,156629,3911822,0,0,0,0,0
1778610735.056221,156630,3911912,0,0,0,0,0
1778610735.146228,156631,3912003,0,0,0,0,5
1778610735.236086,156632,3912093,0,0,0,0,4
1778610735.326212,156633,3912183,0,0,0,0,4
1778610735.416163,156634,3912273,0,0,0,0,0
1778610735.506222,156635,3912363,0,0,0,0,0
1778610735.596234,156636,3912453,0,0,0,0,0
1778610735.686215,156637,3912543,0,0,2,0,0
1778610735.776291,156638,3912633,0,0,0,1,0
1778610735.866189,156639,3912723,0,0,0,2,0
1778610736.001008,156640,3912813,0,0,2,0,0
1778610736.091216,156642,3913012,0,0,0,0,0
1778610736.181164,156643,3913039,0,2,0,2,0
1778610736.271011,156644,3913128,0,0,0,0,0
1778610736.361225,156645,3913218,0,0,0,0,9
1778610736.451223,156646,3913308,1,0,0,0,0
1778610736.541211,156647,3913398,0,0,0,0,0
1778610736.631226,156648,3913488,0,0,0,0,0
1778610736.721224,156649,3913578,0,0,0,0,0
1778610736.810897,156650,3913668,0,0,3,0,0
1778610736.901150,156651,3913758,0,0,0,0,0
1778610736.991216,156652,3913848,0,0,0,0,0
1778610737.081238,156653,3913938,0,0,0,1,0
1778610737.171214,156654,3914028,0,0,0,0,0
1778610737.261233,156655,3914118,0,0,0,0,0
1778610737.351248,156656,3914208,0,0,0,0,0
1778610737.441233,156657,3914298,0,0,0,1,0
1778610737.531223,156658,3914388,0,0,0,0,0
1778610737.621212,156659,3914478,0,0,0,0,0
1778610737.711272,156660,3914568,0,0,0,0,0
1778610737.801054,156661,3914658,0,1,0,0,0
1778610737.891166,156662,3914749,0,0,0,0,0
1778610737.981165,156663,3914838,0,0,0,6,0
1778610738.071158,156664,3914928,0,0,0,0,0
1778610738.161011,156665,3915018,58,0,0,0,0
1778610738.251165,156666,3915108,76,0,0,0,0
1778610738.343759,156667,3915198,0,0,0,0,0
1778610738.431159,156668,3915289,0,0,0,0,0
1778610738.521153,156669,3915378,0,0,0,0,0
1778610738.611040,156670,3915468,0,0,0,0,0
1778610738.700909,156671,3915558,0,0,0,0,0
1778610738.791162,156672,3915648,0,0,0,0,0
1778610738.881831,156673,3915738,0,0,0,0,0
1778610738.971175,156674,3915829,0,0,0,0,0
1778610739.061223,156675,3915918,0,0,0,0,0
1778610739.151222,156676,3916008,0,0,0,0,0
1778610739.241292,156677,3916098,0,0,0,0,0
1778610739.331212,156678,3916188,0,0,0,4,0
1778610739.421265,156679,3916278,22,0,0,0,0
1778610739.512111,156680,3916369,0,0,0,0,0
1778610739.601213,156681,3916458,0,0,0,0,0
1778610739.690996,156682,3916548,0,1,0,0,0
1778610739.782013,156683,3916638,0,0,0,0,0
1778610739.871280,156684,3916728,0,4,0,0,0
1778610739.961189,156685,3916818,0,0,0,0,0
1778610740.051105,156686,3916909,0,0,0,0,0
1778610740.141232,156687,3916999,0,0,0,0,0
