host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778611095.063527,186382,4272005,0,0,0,0,0
1778611095.152912,186383,4272015,0,0,0,0,0
1778611095.243105,186384,4272104,1,0,0,0,0
1778611095.333021,186385,4272194,0,0,0,0,1
1778611095.423225,186386,4272285,0,0,0,0,0
1778611095.513015,186387,4272375,0,0,0,0,0
1778611095.603239,186388,4272464,0,3,0,0,0
1778611095.693957,186389,4272554,0,0,0,0,0
1778611095.873232,186390,4272644,0,0,0,0,0
1778611095.963233,186392,4272843,0,0,0,0,0
1778611096.053258,186393,4272915,0,0,0,14,0
1778611096.143231,186394,4273004,0,0,58,0,0
1778611096.233084,186395,4273094,0,0,0,0,0
1778611096.323229,186396,4273184,0,0,0,0,0
1778611096.413251,186397,4273274,0,0,0,0,7
1778611096.548233,186398,4273365,0,0,0,2,0
1778611096.638240,186400,4273564,0,0,5,1,0
1778611096.728089,186401,4273589,0,2,0,0,0
1778611096.818182,186402,4273679,0,0,0,0,0
1778611096.907972,186403,4273769,0,0,0,0,0
1778611096.998143,186404,4273859,0,0,0,0,0
1778611097.088113,186405,4273950,0,0,0,0,0
1778611097.178151,186406,4274040,0,0,0,0,1
1778611097.268915,186407,4274129,0,0,0,0,0
1778611097.358208,186408,4274219,0,0,0,0,0
1778611097.448243,186409,4274309,0,0,0,0,0
1778611097.538229,186410,4274399,4,0,0,0,0
1778611097.628173,186411,4274490,0,0,0,0,0
1778611097.717962,186412,4274580,0,0,0,0,0
1778611097.808023,186413,4274669,0,0,1,0,0
1778611097.898242,186414,4274759,0,0,0,0,0
1778611097.988230,186415,4274849,0,1,0,0,0
1778611098.078154,186416,4274939,0,0,0,2,0
1778611098.168246,186417,4275030,0,0,0,0,0
1778611098.259117,186418,4275120,0,0,2,0,0
1778611098.349233,186419,4275209,0,0,0,0,0
1778611098.438230,186420,4275299,0,2,0,0,0
1778611098.528188,186421,4275389,0,0,0,0,0
1778611098.618219,186422,4275479,0,0,0,0,0
1778611098.708226,186423,4275570,0,0,0,0,0
1778611098.798153,186424,4275660,0,0,0,0,0
1778611098.888235,186425,4275750,0,0,0,0,0
1778611098.978165,186426,4275839,0,0,1,0,0
1778611099.068118,186427,4275929,0,0,0,0,0
1778611099.158210,186428,4276019,0,0,1,2,0
1778611099.248214,186429,4276110,0,0,1,0,0
1778611099.339027,186430,4276200,0,0,0,0,0
1778611099.428083,186431,4276290,0,0,0,0,0
1778611099.519212,186432,4276379,0,0,0,0,0
1778611099.609257,186433,4276469,0,0,0,0,0
1778611099.699248,186434,4276559,0,0,0,0,3
1778611099.789248,186435,4276650,0,0,0,0,0
