host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1778612215.815324,260426,5392724,0,0,0,0,0
1778612215.905985,260428,5392843,0,0,8,0,0
1778612215.995971,260429,5392865,0,0,0,0,0
1778612216.086129,260430,5392955,0,0,0,2,1
1778612216.220980,260431,5393044,0,0,0,0,0
1778612216.310855,260433,5393245,0,0,0,0,0
1778612216.401207,260434,5393270,0,0,0,0,0
1778612216.491220,260435,5393360,0,1,0,0,8
1778612216.626234,260437,5393559,0,0,0,0,0
1778612216.716233,260438,5393584,3,0,0,0,0
1778612216.806179,260439,5393675,0,0,0,0,0
1778612216.896224,260440,5393765,0,0,0,0,0
1778612216.986085,260441,5393855,0,0,0,0,0
1778612217.076219,260442,5393945,0,0,0,0,0
1778612217.166209,260443,5394035,0,0,0,0,0
1778612217.256216,260444,5394125,0,0,0,1,0
1778612217.347043,260445,5394215,0,0,0,0,0
1778612217.436212,260446,5394305,0,0,0,0,0
1778612217.526217,260447,5394395,0,0,0,0,0
1778612217.616188,260448,5394485,0,0,0,0,0
1778612217.706214,260449,5394575,0,0,0,0,0
1778612217.796219,260450,5394665,0,0,0,0,0
1778612217.886217,260451,5394754,0,0,0,0,0
1778612217.976065,260452,5394845,0,0,0,0,0
1778612218.066210,260453,5394935,0,0,0,0,0
1778612218.156245,260454,5395025,0,0,0,0,0
1778612218.246198,260455,5395115,0,0,0,0,0
1778612218.336240,260456,5395205,0,0,0,0,0
1778612218.426221,260457,5395294,0,0,0,0,0
1778612218.516208,260458,5395385,0,6,0,0,0
1778612218.606032,260459,5395475,0,0,0,0,0
1778612218.696083,260460,5395565,0,0,0,0,0
1778612218.785079,260461,5395655,0,0,0,0,0
1778612218.876118,260462,5395745,0,0,0,0,1
1778612218.966107,260463,5395834,0,0,0,0,0
1778612219.055240,260464,5395925,0,0,0,8,0
1778612219.145222,260465,5396015,0,0,0,0,0
1778612219.236010,260466,5396105,0,0,0,0,20
1778612219.326210,260467,5396195,0,0,0,1,0
1778612219.417781,260468,5396285,0,0,0,1,0
1778612219.505193,260469,5396375,0,0,0,0,0
1778612219.596222,260470,5396465,0,0,0,0,0
1778612219.685211,260471,5396555,0,0,0,0,0
1778612219.820007,260472,5396645,0,0,0,0,2
1778612219.910236,260474,5396844,2,0,0,0,0
1778612220.000236,260475,5396870,0,0,0,0,0
1778612220.090199,260476,5396959,0,0,0,0,0
1778612220.180234,260477,5397050,0,0,0,0,0
1778612220.270219,260478,5397140,0,0,0,0,0
1778612220.360222,260479,5397230,0,0,0,0,0
1778612220.450046,260480,5397320,0,2,0,0,18
1778612220.540147,260481,5397410,0,0,0,0,0
1778612220.630116,260482,5397500,0,0,0,0,0
1778612220.721216,260483,5397590,0,0,0,0,1
1778612220.810076,260484,5397680,0,0,0,0,8
1778612220.900028,260485,5397770,0,0,0,0,0
1778612220.990924,260486,5397860,0,0,0,0,2
1778612221.080231,260487,5397950,0,0,0,4,0
1778612221.169837,260488,5398040,0,0,0,0,1
1778612221.260206,260489,5398130,3,0,0,0,0
1778612221.350085,260490,5398220,0,0,0,0,0
1778612221.440231,260491,5398310,0,0,0,0,0
1778612221.529934,260492,5398400,0,0,0,0,0
1778612221.620071,260493,5398490,0,0,0,2,0
1778612221.710228,260494,5398580,0,0,0,1,0
1778612221.800205,260495,5398670,0,0,0,0,1
1778612221.889958,260496,5398760,0,0,0,0,0
1778612221.980238,260497,5398850,0,0,0,0,0
1778612222.070016,260498,5398940,0,0,0,0,0
1778612222.160217,260499,5399030,0,0,0,0,0
1778612222.250217,260500,5399120,1,0,0,0,0
1778612222.340215,260501,5399210,0,0,0,0,0
1778612222.430221,260502,5399300,0,0,0,0,0
1778612222.520191,260503,5399390,0,0,0,0,0
1778612222.610245,260504,5399480,0,0,0,0,0
1778612222.700222,260505,5399570,0,0,0,0,0
1778612222.790231,260506,5399660,0,0,0,0,0
1778612222.880224,260507,5399750,0,0,0,0,0
1778612222.969909,260508,5399840,0,0,0,0,0
1778612223.060211,260509,5399929,24,0,0,0,0
1778612223.150240,260510,5400019,0,0,0,0,0
1778612223.240045,260511,5400109,0,0,0,0,0
1778612223.330215,260512,5400199,0,0,0,0,0
1778612223.419922,260513,5400289,0,0,0,0,0
1778612223.510233,260514,5400380,0,0,0,0,0
1778612223.601161,260515,5400470,0,0,0,0,0
1778612223.690241,260516,5400560,0,0,0,0,0
1778612223.825220,260517,5400650,0,0,0,0,0
1778612223.915087,260519,5400849,0,0,0,0,0
1778612224.005235,260520,5400875,0,0,0,0,0
1778612224.095219,260521,5400965,0,0,3,0,4
1778612224.230227,260522,5401055,0,0,0,0,0
1778612224.321203,260524,5401254,0,0,0,0,0
1778612224.411224,260525,5401280,0,0,0,0,0
1778612224.500238,260526,5401370,0,0,0,0,0
1778612224.590263,260527,5401460,0,0,0,0,0
1778612224.679952,260528,5401550,0,0,0,0,0
1778612224.770014,260529,5401640,747,0,0,0,0
1778612224.860232,260530,5401730,779,1,0,3,0
1778612224.950210,260531,5401820,840,0,0,0,0
1778612225.040221,260532,5401910,883,0,0,0,0
1778612225.130202,260533,5402000,899,0,0,0,0
1778612225.220241,260534,5402090,915,0,0,4,0
1778612225.310249,260535,5402180,928,0,0,0,0
1778612225.400071,260536,5402270,938,0,0,0,0
1778612225.490004,260537,5402360,957,0,0,0,0
1778612225.580209,260538,5402450,1016,0,0,1,0
1778612225.669946,260539,5402541,1090,1,0,0,0
1778612225.760215,260540,5402630,1108,0,2,0,0
1778612225.850226,260541,5402720,1141,0,0,0,0
1778612225.940222,260542,5402810,1193,0,0,0,0
1778612226.030169,260543,5402900,1298,0,0,0,0
1778612226.165038,260544,5402990,1413,0,0,0,0
1778612226.255036,260546,5403190,771,0,0,0,0
1778612226.345225,260547,5403215,672,0,3,0,0
1778612226.435227,260548,5403305,973,0,0,0,0
1778612226.525221,260549,5403395,762,0,0,0,0
1778612226.615218,260550,5403485,812,0,0,0,0
1778612226.705079,260551,5403575,764,0,0,0,0
1778612226.795018,260552,5403666,1135,1,0,0,0
1778612226.885222,260553,5403755,1130,0,0,0,0
1778612226.975241,260554,5403845,1163,0,0,0,0
1778612227.065223,260555,5403935,1168,0,0,0,0
1778612227.155214,260556,5404025,1178,0,0,0,0
1778612227.290063,260557,5404115,1097,0,0,2,0
1778612227.380071,260559,5404315,990,0,0,0,0
1778612227.470251,260560,5404340,924,0,0,0,0
1778612227.560224,260561,5404430,962,0,0,0,0
1778612227.650207,260562,5404520,709,0,0,0,0
1778612227.740212,260563,5404610,0,0,0,1,0
1778612227.829990,260564,5404700,0,0,0,0,0
1778612227.919919,260565,5404791,0,0,0,0,0
1778612228.010249,260566,5404880,0,2,0,0,0
1778612228.100222,260567,5404970,0,0,0,0,0
1778612228.190184,260568,5405060,0,0,0,0,0
1778612228.280139,260569,5405150,0,0,0,0,0
1778612228.370230,260570,5405240,0,0,0,0,0
1778612228.460213,260571,5405331,0,0,0,0,0
1778612228.550168,260572,5405420,0,0,0,0,0
1778612228.640235,260573,5405510,0,2,0,0,0
1778612228.730223,260574,5405600,0,0,0,0,0
1778612228.820217,260575,5405690,0,0,0,0,0
1778612228.910057,260576,5405780,0,0,0,0,0
1778612229.000230,260577,5405871,0,0,6,0,0
1778612229.090216,260578,5405960,0,0,0,0,0
1778612229.180235,260579,5406050,0,0,4,0,0
1778612229.270227,260580,5406140,0,0,0,0,0
1778612229.359993,260581,5406230,0,0,0,0,0
1778612229.450224,260582,5406320,0,3,0,0,0
1778612229.540005,260583,5406411,0,0,0,0,0
1778612229.630006,260584,5406500,0,0,0,0,0
1778612229.720257,260585,5406590,0,10,0,0,0
1778612229.810238,260586,5406680,0,0,0,0,0
1778612229.900008,260587,5406770,0,0,0,0,0
1778612229.990275,260588,5406860,0,0,0,0,0
1778612230.080252,260589,5406951,0,0,0,0,0
1778612230.169854,260590,5407041,0,0,0,0,0
1778612230.260197,260591,5407130,0,0,0,0,0
1778612230.350247,260592,5407220,0,0,0,0,0
1778612230.440119,260593,5407310,0,0,0,0,0
1778612230.530218,260594,5407400,535,0,0,0,0
1778612230.619999,260595,5407491,767,0,0,2,0
1778612230.710228,260596,5407581,975,0,0,0,0
1778612230.799955,260597,5407670,1043,0,0,0,0
1778612230.890208,260598,5407760,1224,0,0,0,0
1778612230.980251,260599,5407850,1244,1,22,0,0
1778612231.070214,260600,5407940,1278,0,0,4,0
1778612231.161223,260601,5408030,1390,0,0,1,0
1778612231.250022,260602,5408121,1341,0,0,0,0
1778612231.340219,260603,5408210,1322,0,0,0,0
1778612231.430215,260604,5408300,1334,1,0,0,0
1778612231.520237,260605,5408390,1366,0,0,2,0
1778612231.610220,260606,5408480,1641,0,0,0,0
1778612231.700229,260607,5408570,1606,0,0,0,0
1778612231.790224,260608,5408661,1693,0,0,0,0
1778612231.880233,260609,5408750,1759,0,0,1,0
1778612231.970242,260610,5408840,1847,0,0,0,2
1778612232.060242,260611,5408930,1872,0,1,0,0
1778612232.150219,260612,5409020,1877,0,0,0,0
1778612232.240220,260613,5409110,1880,24,0,0,0
1778612232.330208,260614,5409201,1945,0,4,0,0
1778612232.419968,260615,5409291,1955,0,4,0,0
1778612232.511775,260616,5409380,1975,0,2,0,0
1778612232.600221,260617,5409470,1910,0,0,0,0
1778612232.690157,260618,5409560,1907,0,0,0,0
1778612232.780232,260619,5409650,1981,0,0,0,0
1778612232.870217,260620,5409741,1954,0,0,0,0
1778612232.959968,260621,5409831,1838,1,0,0,0
1778612233.050054,260622,5409920,1708,0,0,0,0
1778612233.140218,260623,5410010,0,0,0,0,0
1778612233.230220,260624,5410100,0,0,0,0,0
1778612233.320220,260625,5410190,0,0,0,0,0
1778612233.410235,260626,5410281,0,0,0,0,0
1778612233.500227,260627,5410371,0,0,0,0,0
1778612233.590037,260628,5410460,0,0,0,0,0
1778612233.680107,260629,5410550,0,0,0,0,2
1778612233.770245,260630,5410640,0,0,0,0,15
1778612233.860222,260631,5410730,0,0,0,2,0
1778612233.950210,260632,5410821,0,0,0,0,0
1778612234.040224,260633,5410911,8,0,0,0,1
1778612234.130078,260634,5411000,0,2,0,0,0
1778612234.220180,260635,5411090,0,0,0,0,0
1778612234.310218,260636,5411180,0,0,0,0,0
1778612234.400228,260637,5411270,0,0,0,0,0
1778612234.490035,260638,5411361,0,0,0,0,0
1778612234.580212,260639,5411451,0,0,0,0,0
1778612234.669936,260640,5411541,0,0,0,0,0
1778612234.763224,260641,5411630,0,0,0,0,4
1778612234.850237,260642,5411720,0,0,0,0,0
1778612234.940239,260643,5411810,0,0,0,0,0
1778612235.030227,260644,5411900,0,0,0,0,0
1778612235.119982,260645,5411991,0,0,0,0,0
1778612235.210256,260646,5412080,0,0,0,0,0
1778612235.300224,260647,5412169,0,0,0,0,0
1778612235.390210,260648,5412259,2,0,0,0,0
1778612235.480217,260649,5412349,0,0,0,0,0
1778612235.570231,260650,5412439,0,0,0,0,0
1778612235.660057,260651,5412531,0,0,0,0,0
1778612235.749891,260652,5412621,1173,0,0,0,0
1778612235.885237,260653,5412710,1284,0,0,0,0
1778612235.976109,260655,5412910,2363,0,9,0,0
1778612236.065237,260656,5412935,2399,0,11,0,0
1778612236.155977,260657,5413026,2509,0,25,0,0
1778612236.245211,260658,5413116,2556,0,70,0,1
1778612236.335221,260659,5413206,2608,0,87,0,0
1778612236.425231,260660,5413295,2634,0,93,0,0
1778612236.515228,260661,5413385,2669,0,114,0,0
1778612236.605199,260662,5413475,2647,0,110,0,0
1778612236.695065,260663,5413566,2618,0,111,0,0
1778612236.785229,260664,5413656,2522,0,155,0,0
1778612236.875210,260665,5413746,2430,0,240,0,0
1778612236.965125,260666,5413835,2391,0,227,0,0
1778612237.055250,260667,5413925,2295,0,196,0,0
1778612237.145249,260668,5414015,2034,0,128,0,0
1778612237.235172,260669,5414105,1961,0,0,0,0
1778612237.325148,260670,5414196,1914,0,0,0,0
1778612237.415227,260671,5414286,1719,0,0,0,0
1778612237.505237,260672,5414375,1925,0,0,0,0
1778612237.595212,260673,5414465,1918,0,1,0,0
1778612237.685129,260674,5414555,1927,0,0,0,0
1778612237.775113,260675,5414645,1941,0,0,0,0
1778612237.865074,260676,5414736,1888,0,0,0,0
1778612237.955127,260677,5414826,1760,0,0,0,0
1778612238.090180,260678,5414916,1361,0,0,0,0
1778612238.180242,260680,5415115,0,0,0,0,0
1778612238.270126,260681,5415140,0,0,0,0,0
1778612238.360196,260682,5415231,0,2,0,0,1
1778612238.450242,260683,5415321,0,0,0,0,0
1778612238.540219,260684,5415411,0,0,0,1,0
1778612238.630228,260685,5415500,0,0,0,0,0
1778612238.720228,260686,5415590,0,0,0,1,0
1778612238.855249,260687,5415680,0,0,0,0,0
1778612238.945231,260689,5415879,0,0,0,0,0
1778612239.035274,260690,5415906,0,0,0,0,0
1778612239.125227,260691,5415996,0,0,0,0,0
1778612239.215214,260692,5416085,0,0,0,0,0
1778612239.307964,260693,5416175,0,0,5,0,0
1778612239.395208,260694,5416265,0,0,0,0,0
1778612239.485205,260695,5416356,0,0,0,0,0
1778612239.620200,260696,5416446,0,0,0,0,0
1778612239.710213,260698,5416645,0,0,0,0,0
1778612239.800183,260699,5416670,0,2,0,0,0
1778612239.890253,260700,5416760,0,0,0,0,0
1778612239.980246,260701,5416851,0,0,0,0,0
1778612240.070257,260702,5416941,294,0,0,0,0
1778612240.160212,260703,5417031,528,0,0,0,0
1778612240.250185,260704,5417121,641,0,0,0,0
1778612240.339933,260705,5417210,137,0,0,0,0
1778612240.430238,260706,5417300,0,0,2,0,0
1778612240.520237,260707,5417390,0,0,0,0,0
1778612240.610240,260708,5417481,266,0,0,3,0
1778612240.745233,260710,5417680,440,0,0,0,0
1778612240.835211,260711,5417706,147,0,0,0,0
1778612240.925098,260712,5417795,1381,0,0,0,0
1778612241.015210,260713,5417885,1683,0,0,0,0
1778612241.105223,260714,5417975,2063,0,4,0,4
1778612241.195227,260715,5418066,2167,0,0,0,0
1778612241.285080,260716,5418156,2085,0,8,0,0
1778612241.375212,260717,5418246,2206,0,19,0,0
1778612241.466293,260718,5418335,1793,0,56,0,0
1778612241.555218,260719,5418425,1744,4,95,0,0
1778612241.646018,260720,5418515,1864,0,72,0,0
1778612241.735224,260721,5418606,1752,0,85,0,17
1778612241.825217,260722,5418696,1703,0,81,0,0
1778612241.915960,260723,5418786,1827,1,88,0,0
1778612242.005265,260724,5418875,1480,0,63,0,0
1778612242.095209,260725,5418965,1621,0,44,0,0
1778612242.185218,260726,5419055,1663,2,60,0,0
1778612242.275216,260727,5419146,1680,0,51,0,0
1778612242.365071,260728,5419236,1639,0,58,0,0
1778612242.456999,260729,5419326,1563,0,59,0,0
1778612242.545149,260730,5419416,1450,0,53,0,0
1778612242.635150,260731,5419505,1388,0,76,0,0
1778612242.725163,260732,5419595,1409,0,66,0,0
1778612242.815154,260733,5419686,1303,0,1,0,0
1778612242.905157,260734,5419776,1303,0,0,0,0
1778612242.994957,260735,5419866,0,0,0,0,0
1778612243.085149,260736,5419956,0,0,0,0,0
1778612243.175182,260737,5420045,0,0,0,0,0
1778612243.265152,260738,5420135,0,0,0,0,0
1778612243.355162,260739,5420226,0,0,0,0,0
1778612243.448127,260740,5420316,0,0,0,0,0
1778612243.534929,260741,5420406,0,0,0,0,0
1778612243.625144,260742,5420496,0,0,0,0,0
1778612243.715139,260743,5420585,4,0,0,0,1
1778612243.805159,260744,5420675,0,0,0,0,0
1778612243.895137,260745,5420766,0,0,0,0,0
1778612243.985145,260746,5420856,0,0,0,0,0
1778612244.074886,260747,5420946,0,0,0,4,0
1778612244.165115,260748,5421036,0,15,0,0,0
1778612244.255149,260749,5421125,0,0,0,0,0
1778612244.389970,260750,5421215,0,0,0,0,0
1778612244.480005,260752,5421416,0,0,0,0,0
1778612244.569942,260753,5421441,0,0,1,0,0
1778612244.660138,260754,5421531,0,1,0,0,0
1778612244.750129,260755,5421621,0,0,0,0,0
1778612244.840135,260756,5421710,0,0,0,0,0
1778612244.930133,260757,5421800,0,0,0,0,0
1778612245.020126,260758,5421891,0,0,0,0,0
1778612245.109958,260759,5421981,0,0,0,0,0
1778612245.200133,260760,5422071,0,0,0,0,0
1778612245.290102,260761,5422161,0,0,7,0,0
1778612245.380136,260762,5422250,1127,0,88,0,0
1778612245.470138,260763,5422340,1903,0,150,0,0
1778612245.560166,260764,5422431,2613,0,180,0,0
1778612245.650989,260765,5422521,2698,0,385,2,1
1778612245.740155,260766,5422611,2796,0,453,0,0
1778612245.830175,260767,5422701,2827,0,499,0,0
1778612245.920058,260768,5422791,2833,0,471,0,0
1778612246.010154,260769,5422880,2899,0,524,0,0
1778612246.100147,260770,5422971,2814,0,453,0,0
1778612246.190156,260771,5423061,2692,0,487,0,0
1778612246.280156,260772,5423151,2655,0,403,0,0
1778612246.370161,260773,5423241,2608,0,215,0,0
1778612246.460153,260774,5423331,2574,4,0,0,0
1778612246.550167,260775,5423420,2472,0,0,0,0
1778612246.639930,260776,5423510,2368,0,0,0,0
1778612246.730144,260777,5423601,2389,0,0,0,0
1778612246.820141,260778,5423690,2244,0,0,0,0
1778612246.910187,260779,5423780,2130,0,0,0,0
1778612247.000148,260780,5423870,2028,0,0,0,0
1778612247.089933,260781,5423959,1983,0,0,0,0
1778612247.180054,260782,5424049,1975,0,0,0,0
1778612247.270157,260783,5424141,1969,0,0,0,0
1778612247.360148,260784,5424231,1959,0,0,0,0
1778612247.450105,260785,5424321,2199,0,0,0,0
1778612247.540191,260786,5424411,2206,0,0,0,0
1778612247.630174,260787,5424500,2028,0,0,0,0
1778612247.719982,260788,5424590,1903,0,0,0,0
1778612247.810147,260789,5424681,969,1,0,0,0
1778612247.900160,260790,5424771,0,0,0,0,0
1778612247.990157,260791,5424861,0,0,0,0,0
1778612248.080157,260792,5424951,0,0,0,0,0
1778612248.170151,260793,5425041,0,0,0,0,0
1778612248.260163,260794,5425130,0,0,0,0,0
1778612248.350153,260795,5425221,0,0,0,0,0
1778612248.440149,260796,5425311,0,0,1,0,0
1778612248.530204,260797,5425401,0,0,0,0,0
1778612248.620148,260798,5425491,0,0,0,0,0
1778612248.710151,260799,5425581,0,0,2,0,1
1778612248.800146,260800,5425670,0,0,0,0,0
1778612248.890144,260801,5425761,0,0,0,0,0
1778612248.980200,260802,5425851,0,0,0,0,0
