emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,label,timestamp
192,141,116,78,10,134,227,250,0,1764980816.2257504
181,144,113,72,3,125,250,250,0,1764980816.225762
170,143,112,71,0,117,251,251,0,1764980816.2257686
165,140,112,68,0,115,243,251,0,1764980816.225774
164,136,115,70,0,116,216,252,0,1764980816.225788
162,132,117,79,0,119,171,252,0,1764980816.2257938
163,129,119,90,1,122,121,253,0,1764980816.2257988
170,128,121,98,7,127,70,252,0,1764980816.2258043
168,126,122,111,16,131,28,241,0,1764980816.2258098
159,124,120,121,28,133,5,221,0,1764980816.2258153
150,122,120,135,42,135,0,196,0,1764980816.2258203
136,120,121,149,56,136,0,168,0,1764980816.2258258
118,117,121,162,66,135,0,139,0,1764980816.2258306
100,117,122,175,75,130,0,119,0,1764980816.2258356
87,119,123,179,81,124,0,107,0,1764980816.2258494
73,122,124,178,87,117,0,100,0,1764980816.2258632
57,125,123,173,91,111,2,97,0,1764980816.246095
40,128,121,165,94,106,7,95,0,1764980816.2461026
30,128,120,162,95,106,15,94,0,1764980816.2461078
26,126,120,164,96,108,25,94,0,1764980816.246113
30,122,119,162,93,113,36,94,0,1764980816.246118
39,119,119,155,88,120,45,95,0,1764980816.246123
52,117,118,147,80,126,51,96,0,1764980816.2461355
68,118,118,135,72,132,56,97,0,1764980816.246141
83,120,117,123,65,138,59,98,0,1764980816.2461457
95,122,116,115,65,140,62,99,0,1764980816.246151
104,123,116,116,73,141,64,100,0,1764980816.2461562
110,121,117,121,87,144,67,101,0,1764980816.2461615
115,119,118,123,108,147,69,102,0,1764980816.2461662
117,117,120,124,131,148,71,103,0,1764980816.2461715
117,115,121,125,152,151,73,104,0,1764980816.2461762
116,116,120,124,172,152,74,104,0,1764980816.2461846
114,118,119,121,196,150,76,105,0,1764980816.2966735
111,121,117,124,215,145,77,106,0,1764980816.2966833
108,122,115,131,230,140,78,106,0,1764980816.296687
107,123,114,141,239,135,79,107,0,1764980816.296696
106,123,115,153,241,132,81,108,0,1764980816.2966993
110,121,116,165,231,128,82,108,0,1764980816.2967024
115,121,118,175,221,127,84,109,0,1764980816.2967055
122,123,120,180,212,125,85,110,0,1764980816.2967086
128,125,120,179,203,122,86,111,0,1764980816.2967117
133,128,121,174,196,117,88,111,0,1764980816.2967203
136,129,121,171,193,115,89,102,0,1764980816.2967236
137,127,121,170,187,112,90,87,0,1764980816.2967265
136,123,122,175,180,110,91,69,0,1764980816.2967296
135,118,125,182,176,111,92,51,0,1764980816.2967324
134,115,127,191,171,112,93,33,0,1764980816.2967355
135,114,128,196,165,110,94,29,0,1764980816.296739
136,117,128,192,162,108,96,33,0,1764980816.3371787
137,122,128,182,162,107,97,40,0,1764980816.3371832
137,127,127,173,161,108,98,48,0,1764980816.3371859
137,128,127,166,161,112,99,54,0,1764980816.337188
136,127,128,165,162,118,100,55,0,1764980816.3371906
133,123,129,172,162,125,101,49,0,1764980816.3371935
131,118,131,179,157,131,82,43,0,1764980816.3371959
129,114,132,183,154,134,87,40,0,1764980816.337198
129,113,132,186,150,134,90,37,0,1764980816.337205
130,114,132,182,143,132,92,39,0,1764980816.3372073
131,117,132,182,132,129,94,46,0,1764980816.33721
131,119,132,180,119,127,116,52,0,1764980816.3372118
130,119,133,181,100,127,112,54,0,1764980816.3372142
129,118,135,179,80,128,111,54,0,1764980816.3372166
127,117,136,176,62,130,110,51,0,1764980816.3372188
125,116,137,168,43,132,110,47,0,1764980816.3372214
124,116,137,162,28,133,110,46,0,1764980816.3574164
125,117,137,155,17,132,111,51,0,1764980816.3574207
126,119,135,149,10,131,111,60,0,1764980816.357423
126,121,133,144,4,131,111,69,0,1764980816.357426
126,121,132,142,1,133,112,76,0,1764980816.3574283
126,121,131,123,1,137,112,79,0,1764980816.3574302
124,119,131,113,1,142,105,80,0,1764980816.3574326
123,117,131,109,0,145,95,79,0,1764980816.3574352
122,118,131,104,5,145,82,84,0,1764980816.3574374
122,120,129,96,22,140,72,92,0,1764980816.3574398
124,123,127,106,49,131,66,104,0,1764980816.3574507
126,127,125,110,81,123,68,115,0,1764980816.357453
126,129,124,109,120,118,72,122,0,1764980816.3574553
126,128,123,110,151,117,75,122,0,1764980816.3574576
126,125,123,110,172,121,75,118,0,1764980816.35746
125,122,124,107,181,126,74,113,0,1764980816.3574622
124,120,124,106,182,129,73,111,0,1764980816.387747
124,120,124,106,179,129,74,114,0,1764980816.387751
125,121,123,106,173,127,79,120,0,1764980816.3877535
126,123,122,110,169,125,87,126,0,1764980816.3877559
126,125,122,118,161,124,94,129,0,1764980816.3877578
126,124,121,122,150,126,95,127,0,1764980816.3877602
125,122,122,126,134,128,92,122,0,1764980816.3877661
124,120,125,127,110,131,90,115,0,1764980816.3877683
123,118,127,129,76,132,87,110,0,1764980816.3877704
124,118,127,128,48,128,84,109,0,1764980816.3877723
124,120,129,126,27,121,87,112,0,1764980816.3877747
125,123,129,126,15,115,93,117,0,1764980816.387777
126,125,127,126,18,108,95,121,0,1764980816.3877795
126,126,126,120,31,103,94,123,0,1764980816.3877823
125,125,126,120,47,102,92,123,0,1764980816.3877847
125,124,126,125,64,101,91,120,0,1764980816.387787
124,122,127,127,77,102,89,117,0,1764980816.4079695
124,121,128,131,88,101,91,116,0,1764980816.407974
124,123,129,140,96,98,95,118,0,1764980816.4079764
125,126,128,146,102,96,100,121,0,1764980816.4079788
127,128,127,147,106,94,104,124,0,1764980816.4079814
128,129,126,147,110,93,106,126,0,1764980816.4079835
129,129,125,148,113,96,106,126,0,1764980816.407986
128,126,125,145,115,102,103,121,0,1764980816.4079883
127,125,126,143,117,107,100,119,0,1764980816.4079905
126,123,127,143,118,111,99,118,0,1764980816.4079928
125,125,126,143,120,111,99,120,0,1764980816.407995
125,128,125,140,121,109,102,125,0,1764980816.4079971
126,130,124,139,121,106,107,130,0,1764980816.4079998
127,130,124,136,121,105,110,132,0,1764980816.4080026
126,130,123,132,122,107,111,131,0,1764980816.4080045
126,127,123,125,122,110,110,127,0,1764980816.4080114
125,124,123,117,121,113,108,122,0,1764980816.4484005
125,122,123,112,121,116,107,121,0,1764980816.448405
126,123,122,108,121,116,108,122,0,1764980816.4484076
127,125,121,106,121,114,113,126,0,1764980816.4484098
128,128,121,105,121,114,118,130,0,1764980816.4484124
130,129,121,107,122,114,122,133,0,1764980816.4484146
129,130,122,107,122,116,122,133,0,1764980816.4484167
128,129,123,108,122,119,122,133,0,1764980816.4484189
126,127,123,108,122,123,120,129,0,1764980816.4484208
125,126,123,109,121,125,119,126,0,1764980816.4484234
124,126,123,113,121,124,119,125,0,1764980816.4484253
125,129,122,120,128,122,122,127,0,1764980816.4484305
127,133,121,124,152,118,127,131,0,1764980816.4484344
128,136,120,123,178,115,131,134,0,1764980816.4484367
129,138,119,124,204,114,134,136,0,1764980816.4484391
129,136,119,124,230,116,135,136,0,1764980816.4484415
128,133,121,118,249,119,135,131,0,1764980816.478706
126,128,123,112,250,123,131,124,0,1764980816.4787111
125,124,125,112,250,127,131,122,0,1764980816.4787135
125,122,125,109,251,127,132,123,0,1764980816.4787157
126,122,123,106,250,126,134,127,0,1764980816.478718
128,123,120,105,250,123,136,132,0,1764980816.4787202
129,123,117,106,250,125,137,135,0,1764980816.4787226
129,124,115,105,250,128,134,133,0,1764980816.4787247
128,123,116,104,250,132,130,129,0,1764980816.4787269
125,122,119,103,250,134,127,123,0,1764980816.478729
123,121,122,107,250,137,123,119,0,1764980816.4787312
122,121,124,113,236,133,123,119,0,1764980816.4787378
123,124,125,121,209,129,123,122,0,1764980816.4787405
125,127,126,131,171,126,123,125,0,1764980816.4787428
126,129,126,140,125,123,123,127,0,1764980816.478745
126,128,125,145,74,124,121,127,0,1764980816.4787478
127,127,127,148,38,127,119,125,0,1764980816.5191398
125,122,129,149,15,130,116,121,0,1764980816.5191445
125,120,131,147,3,130,114,118,0,1764980816.5191472
124,118,131,145,0,129,112,118,0,1764980816.5191498
125,119,131,146,0,124,113,120,0,1764980816.5191522
125,121,129,145,0,118,111,124,0,1764980816.5191548
126,123,127,145,13,111,109,127,0,1764980816.519157
127,125,126,146,48,106,108,130,0,1764980816.5191653
127,125,126,143,89,105,106,128,0,1764980816.5191674
126,123,127,136,129,106,103,125,0,1764980816.51917
126,121,129,132,174,107,101,122,0,1764980816.5191727
126,121,129,127,209,109,101,120,0,1764980816.5191748
125,120,129,122,224,112,101,118,0,1764980816.5191772
125,122,128,119,233,114,105,120,0,1764980816.5191796
126,125,127,119,243,115,111,122,0,1764980816.519182
126,126,125,119,248,117,118,124,0,1764980816.5191846
126,125,123,116,250,120,125,125,0,1764980816.5393739
125,123,122,112,250,121,130,125,0,1764980816.5393777
124,121,121,110,250,124,131,123,0,1764980816.5393803
123,118,120,107,249,125,130,121,0,1764980816.5393825
123,118,120,104,245,124,128,121,0,1764980816.5393848
122,120,119,103,234,123,126,121,0,1764980816.5393872
123,122,119,102,217,122,126,124,0,1764980816.5393894
124,125,119,99,189,119,124,125,0,1764980816.5393918
125,125,120,96,153,120,123,125,0,1764980816.539394
125,125,121,94,115,123,122,123,0,1764980816.5393958
124,123,120,93,76,123,120,120,0,1764980816.5393982
124,121,119,93,43,121,117,119,0,1764980816.5394
124,120,119,95,20,118,115,120,0,1764980816.5394022
124,121,120,99,7,115,115,121,0,1764980816.5394053
125,122,120,104,0,111,113,124,0,1764980816.5394073
126,124,123,109,0,108,111,125,0,1764980816.539413
126,123,125,112,0,110,111,124,0,1764980816.5595508
125,123,126,113,0,114,109,123,0,1764980816.569615
124,121,125,112,0,119,106,122,0,1764980816.569618
124,120,126,109,0,124,105,120,0,1764980816.5696208
123,120,127,104,0,127,106,120,0,1764980816.569623
124,122,127,100,0,126,108,121,0,1764980816.5696254
124,124,127,98,0,125,112,122,0,1764980816.5696278
126,127,126,97,7,121,118,123,0,1764980816.5696316
127,128,124,96,20,119,123,124,0,1764980816.5696607
127,128,122,95,40,120,126,125,0,1764980816.5696633
126,126,120,95,70,124,128,125,0,1764980816.5696654
126,124,120,96,111,129,128,125,0,1764980816.569668
126,124,121,99,153,133,125,125,0,1764980816.5696704
126,124,121,105,191,135,123,124,0,1764980816.569673
126,125,121,112,220,135,122,124,0,1764980816.5696752
127,127,120,120,241,134,122,125,0,1764980816.569682
126,128,118,128,250,133,124,126,0,1764980816.6301847
126,127,117,135,250,134,126,125,0,1764980816.63019
125,125,116,140,250,135,128,125,0,1764980816.630193
124,124,116,143,250,135,128,122,0,1764980816.6301954
125,122,116,144,251,135,129,121,0,1764980816.630198
126,121,117,145,251,134,129,120,0,1764980816.6302004
126,122,118,145,251,130,129,121,0,1764980816.6302028
126,123,117,146,251,128,128,121,0,1764980816.6302052
126,123,115,148,251,129,129,124,0,1764980816.6302073
126,124,114,150,251,131,125,125,0,1764980816.6302102
125,123,112,150,240,135,122,125,0,1764980816.6302123
124,121,111,150,222,141,119,124,0,1764980816.6302147
124,121,111,148,202,145,115,122,0,1764980816.6302173
124,120,112,144,179,146,112,120,0,1764980816.6302192
124,122,114,140,155,146,110,120,0,1764980816.6302218
125,124,117,138,139,143,108,119,0,1764980816.6302242
126,125,121,136,130,138,107,120,0,1764980816.6302264
126,126,124,135,124,135,105,121,0,1764980816.6302288
126,126,127,134,118,133,101,120,0,1764980816.6302311
126,124,130,134,116,132,98,119,0,1764980816.6302333
125,121,132,132,115,132,94,117,0,1764980816.6302407
125,120,133,131,119,133,92,117,0,1764980816.6302433
125,121,134,130,121,132,92,118,0,1764980816.630246
125,121,134,129,124,132,94,120,0,1764980816.6302483
125,121,134,128,133,132,97,122,0,1764980816.6302507
125,122,133,127,140,132,100,124,0,1764980816.630253
125,122,133,127,146,133,102,125,0,1764980816.6302555
125,122,133,125,155,157,104,126,0,1764980816.6302576
126,122,131,125,169,174,105,126,0,1764980816.63026
127,121,130,124,176,179,106,126,0,1764980816.6302624
127,122,129,125,193,178,108,126,0,1764980816.6302645
126,122,128,125,203,173,109,126,0,1764980816.6302671
126,123,127,126,209,143,111,126,0,1764980816.700807
125,123,127,127,205,121,111,125,0,1764980816.700812
124,124,127,127,199,110,112,125,0,1764980816.7008188
124,124,127,126,182,104,111,123,0,1764980816.7008212
123,123,126,124,171,103,110,122,0,1764980816.7008238
123,122,126,122,158,105,109,121,0,1764980816.7008262
123,122,126,122,149,109,109,121,0,1764980816.7008283
124,123,127,123,137,113,110,122,0,1764980816.7008307
125,124,127,125,122,119,112,123,0,1764980816.700833
125,124,127,127,105,125,114,123,0,1764980816.7008355
125,125,126,129,92,129,116,123,0,1764980816.700838
125,123,125,130,82,131,116,122,0,1764980816.7008405
125,123,125,132,79,131,115,122,0,1764980816.7008429
124,123,125,133,82,130,114,123,0,1764980816.7008448
124,122,125,134,88,129,112,123,0,1764980816.7008471
123,123,125,134,97,128,111,123,0,1764980816.7008498
124,124,125,134,110,125,112,124,0,1764980816.7210557
124,125,125,133,127,125,114,124,0,1764980816.7210603
124,125,125,132,145,125,115,124,0,1764980816.7210631
125,125,125,131,160,124,117,124,0,1764980816.7210658
125,125,125,131,166,123,118,124,0,1764980816.7210684
125,123,125,130,163,125,117,125,0,1764980816.7210708
125,121,126,127,150,125,117,124,0,1764980816.721073
124,120,126,126,136,125,117,123,0,1764980816.7210753
125,120,126,125,124,124,118,123,0,1764980816.7210777
125,121,127,124,120,124,118,124,0,1764980816.7210803
125,123,126,124,120,123,119,124,0,1764980816.7210827
126,126,125,124,130,123,119,126,0,1764980816.7210848
126,127,125,125,139,124,118,126,0,1764980816.7210872
127,127,124,126,150,126,117,125,0,1764980816.7210896
126,126,124,125,157,128,117,124,0,1764980816.7210917
126,125,124,124,168,131,117,123,0,1764980816.7210946
126,125,125,124,175,134,118,123,0,1764980816.741275
126,124,125,122,182,135,119,123,0,1764980816.7412791
125,123,124,120,186,136,120,125,0,1764980816.7412815
125,123,124,119,190,136,121,126,0,1764980816.741284
124,124,123,118,188,135,120,126,0,1764980816.741286
124,123,123,118,187,134,120,126,0,1764980816.7412884
124,123,123,118,181,135,119,125,0,1764980816.7412908
125,125,124,120,178,135,119,124,0,1764980816.741293
125,128,126,121,185,135,118,123,0,1764980816.741295
126,129,126,122,196,136,118,124,0,1764980816.7412975
126,130,127,123,204,137,118,124,0,1764980816.7412994
126,130,126,125,211,136,119,124,0,1764980816.7413018
126,128,126,125,207,135,118,125,0,1764980816.741304
125,124,124,124,188,134,118,125,0,1764980816.7413063
124,122,124,124,161,132,118,124,0,1764980816.7413087
124,121,125,123,133,132,118,124,0,1764980816.7413113
124,121,125,122,108,132,118,124,0,1764980816.7715464
124,121,124,121,91,131,119,124,0,1764980816.771551
124,122,124,122,85,131,120,124,0,1764980816.7715538
125,123,124,123,81,131,121,125,0,1764980816.7715561
125,123,125,125,75,131,121,124,0,1764980816.7715588
126,122,125,126,70,131,122,123,0,1764980816.7715657
126,121,126,128,62,131,122,122,0,1764980816.7715695
126,121,127,128,49,131,122,122,0,1764980816.7715719
126,120,127,127,39,129,121,122,0,1764980816.7715745
125,118,127,128,31,127,121,123,0,1764980816.771577
125,117,127,127,26,124,120,125,0,1764980816.7715788
