emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,label,timestamp
127,125,125,125,124,125,125,125,0,1764984219.0224092
127,125,125,125,125,126,125,125,0,1764984219.0224183
127,125,125,125,125,125,125,125,0,1764984219.0224235
127,125,125,125,125,125,125,125,0,1764984219.0224283
127,125,125,125,125,125,125,125,0,1764984219.0224397
127,125,125,125,125,125,125,125,0,1764984219.022444
126,125,125,125,124,125,124,125,0,1764984219.0224483
126,125,125,125,124,125,124,125,0,1764984219.0224526
126,125,125,125,124,125,124,125,0,1764984219.0224566
126,125,125,125,124,125,124,125,0,1764984219.022461
126,125,125,125,124,125,125,125,0,1764984219.0224671
126,125,125,125,125,125,125,125,0,1764984219.0224712
126,125,125,125,125,125,125,125,0,1764984219.0224752
126,125,125,125,125,125,125,125,0,1764984219.02248
126,125,125,125,126,125,125,125,0,1764984219.022485
126,125,125,125,127,125,125,125,0,1764984219.022492
126,125,125,124,127,125,125,125,0,1764984219.0730274
126,125,125,124,126,125,125,125,0,1764984219.0730355
126,125,125,125,126,125,125,125,0,1764984219.073041
126,125,125,124,125,125,124,125,0,1764984219.0730457
126,125,124,124,124,125,124,125,0,1764984219.0730507
127,125,125,125,123,125,125,125,0,1764984219.0730555
127,125,125,124,122,125,125,125,0,1764984219.0730603
127,125,125,124,121,125,125,125,0,1764984219.0730655
127,125,125,124,121,125,125,125,0,1764984219.07307
127,125,125,124,122,125,125,125,0,1764984219.0730753
127,125,125,125,122,125,125,125,0,1764984219.0730798
126,125,125,125,123,125,125,125,0,1764984219.0730844
126,125,125,125,123,125,125,125,0,1764984219.0730894
126,125,125,125,124,125,125,125,0,1764984219.0730937
126,125,125,125,124,125,125,125,0,1764984219.0730982
126,125,125,124,125,125,125,125,0,1764984219.0731056
126,125,125,125,125,125,125,125,0,1764984219.0933323
127,125,125,125,126,125,125,125,0,1764984219.0933387
127,125,125,125,126,125,125,125,0,1764984219.0933437
127,125,125,125,126,125,125,125,0,1764984219.0933483
126,125,125,125,126,125,125,125,0,1764984219.0933533
126,125,125,125,126,125,124,124,0,1764984219.0933578
126,125,125,125,125,125,124,124,0,1764984219.0933626
126,125,125,125,124,125,124,124,0,1764984219.0933743
126,125,125,125,123,125,124,125,0,1764984219.0933793
126,125,125,125,122,125,125,125,0,1764984219.0933843
126,125,125,125,122,125,125,125,0,1764984219.0933888
126,125,125,125,123,125,125,125,0,1764984219.0933933
126,126,125,125,124,125,125,125,0,1764984219.093398
126,125,125,124,125,125,125,125,0,1764984219.0934024
126,125,125,125,125,125,125,125,0,1764984219.093407
126,125,125,125,125,125,125,125,0,1764984219.093417
126,125,125,125,125,125,124,125,0,1764984219.1135526
126,124,124,125,125,124,124,125,0,1764984219.113558
126,124,125,125,124,124,124,125,0,1764984219.113563
126,124,125,124,124,124,124,124,0,1764984219.1135678
125,125,125,124,125,125,124,124,0,1764984219.1135724
126,125,125,124,124,125,124,125,0,1764984219.1135774
126,125,125,125,124,125,125,125,0,1764984219.1135821
126,125,125,125,125,125,125,125,0,1764984219.1135864
126,126,125,125,126,125,125,125,0,1764984219.113591
127,125,125,125,125,125,125,125,0,1764984219.1135957
127,125,125,125,125,125,125,125,0,1764984219.1136
127,125,125,125,125,125,125,125,0,1764984219.1136045
126,125,125,125,125,125,124,125,0,1764984219.113609
126,125,125,124,124,125,124,125,0,1764984219.1136134
126,125,125,124,124,125,124,125,0,1764984219.1136227
126,125,125,124,123,125,125,125,0,1764984219.1136277
126,125,125,125,123,125,125,125,0,1764984219.164165
127,125,125,125,124,125,125,125,0,1764984219.1641731
127,125,125,125,125,125,125,125,0,1764984219.1641781
127,125,125,125,125,125,125,125,0,1764984219.164183
127,125,125,125,125,125,125,125,0,1764984219.1641948
