host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1777071943.987838,11812,664434,0,0,0,8,0
1777071944.078114,11813,664444,0,0,0,0,0
1777071944.167983,11814,664528,0,0,0,0,0
1777071944.258147,11815,664618,0,0,0,0,2
1777071944.347966,11816,664709,0,0,0,0,0
1777071944.438023,11817,664799,0,0,0,0,0
1777071944.528157,11818,664889,0,0,0,0,0
1777071944.617933,11819,664979,0,0,0,0,0
1777071944.707968,11820,665069,2,0,0,0,0
1777071944.797951,11821,665159,7,0,0,0,0
1777071944.887984,11822,665249,0,0,0,0,0
1777071944.978047,11823,665339,0,0,0,0,0
1777071945.068899,11824,665428,1,0,0,0,0
1777071945.158268,11825,665518,0,0,0,0,0
1777071945.248263,11826,665608,0,0,0,0,0
1777071945.338224,11827,665698,1,0,0,0,0
1777071945.473231,11828,665788,0,1,0,0,0
1777071945.563331,11830,665989,0,0,0,0,0
1777071945.653306,11831,666014,0,0,0,0,0
1777071945.743186,11832,666104,0,0,0,0,0
1777071945.833257,11833,666194,0,0,0,0,0
1777071945.924110,11834,666284,0,0,1,0,0
1777071946.058087,11836,666484,0,0,0,0,0
1777071946.147925,11837,666509,7,0,0,0,0
1777071946.238846,11838,666599,0,0,0,0,0
1777071946.418829,11840,666798,0,0,0,0,0
1777071946.508902,11842,666933,0,0,0,0,0
1777071946.598042,11843,666959,0,0,0,0,0
1777071946.687904,11844,667049,0,0,0,0,0
1777071946.778048,11845,667139,0,0,0,0,0
1777071946.868008,11846,667229,0,0,0,0,0
1777071946.959198,11847,667319,0,0,0,0,0
1777071947.047985,11848,667409,1,0,0,0,0
1777071947.138314,11849,667500,0,0,0,0,0
1777071947.228310,11850,667589,0,0,0,0,0
1777071947.318288,11851,667679,0,0,0,0,0
1777071947.453305,11852,667769,0,0,0,0,0
1777071947.543224,11854,667968,0,0,0,0,0
1777071947.633383,11855,667994,0,0,0,0,0
1777071947.722960,11856,668084,2,0,0,0,0
1777071947.813128,11857,668174,0,0,0,0,0
1777071947.903068,11858,668264,0,0,0,0,0
1777071947.993026,11859,668354,0,0,0,0,0
1777071948.082934,11860,668444,0,0,0,0,0
1777071948.172878,11861,668534,0,0,0,0,0
1777071948.307859,11862,668625,0,0,0,0,0
1777071948.443290,11864,668824,0,0,0,0,0
1777071948.577959,11866,668958,0,0,0,0,0
1777071948.667995,11868,669093,5,0,0,0,0
1777071948.758187,11869,669120,0,0,0,0,0
1777071948.848340,11870,669209,0,0,0,0,0
1777071948.939087,11871,669299,0,2,2,0,0
1777071949.028929,11872,669389,0,0,0,0,2
1777071949.118147,11873,669479,4,0,0,0,0
1777071949.208267,11874,669569,0,0,0,0,0
1777071949.298278,11875,669659,0,0,0,0,0
1777071949.387994,11876,669750,0,0,0,0,0
1777071949.478190,11877,669839,0,0,5,0,0
1777071949.568114,11878,669929,0,0,0,0,0
1777071949.658230,11879,670019,2,0,0,0,0
1777071949.748254,11880,670109,0,0,2,0,0
1777071949.838239,11881,670199,0,0,0,0,0
1777071949.928208,11882,670290,0,0,0,0,0
1777071950.018121,11883,670379,0,0,0,0,0
1777071950.108225,11884,670469,0,0,0,0,0
1777071950.198195,11885,670559,0,0,0,0,0
1777071950.288189,11886,670649,0,0,0,0,0
1777071950.378174,11887,670739,0,0,0,0,0
1777071950.468198,11888,670830,8,0,0,0,0
1777071950.558226,11889,670919,0,0,0,0,0
1777071950.648136,11890,671009,0,0,0,0,2
1777071950.738291,11891,671099,0,0,0,0,0
1777071950.828026,11892,671189,0,0,0,0,0
1777071950.918334,11893,671279,0,0,0,0,0
1777071951.008152,11894,671370,0,0,0,0,0
1777071951.143219,11895,671459,0,0,0,0,0
1777071951.233104,11897,671659,0,0,0,5,0
1777071951.323121,11898,671684,0,0,0,0,0
1777071951.413343,11899,671774,0,1,0,3,0
1777071951.548267,11900,671864,0,0,0,0,0
1777071951.638260,11902,672064,0,13,0,0,0
1777071951.728947,11903,672089,0,0,0,0,0
1777071951.818183,11904,672179,0,0,0,0,0
1777071951.908124,11905,672269,0,0,0,0,0
1777071951.998257,11906,672359,0,0,0,0,0
1777071952.088191,11907,672450,0,0,3,0,0
1777071952.178242,11908,672540,0,0,0,0,0
1777071952.313230,11910,672739,0,0,0,0,0
1777071952.403041,11911,672764,0,0,0,0,0
1777071952.493226,11912,672854,0,0,0,0,0
1777071952.583155,11913,672944,0,0,0,4,0
1777071952.673148,11914,673035,0,0,3,0,11
1777071952.763158,11915,673125,795,0,0,0,507
1777071952.853254,11916,673214,1273,0,0,1,654
1777071952.943170,11917,673304,1676,0,0,0,1163
1777071953.033237,11918,673394,2078,0,704,796,1365
1777071953.123130,11919,673484,2323,0,1142,1024,1583
1777071953.213248,11920,673575,2514,0,1479,1281,1535
1777071953.303020,11921,673665,2602,0,2022,1411,1690
1777071953.393241,11922,673754,2736,0,2238,1545,1791
1777071953.528259,11923,673844,2787,0,2434,1677,1737
1777071953.618195,11925,674043,2863,0,2585,1806,1816
1777071953.753259,11927,674178,2890,0,2626,1865,1804
1777071953.844109,11928,674205,2900,0,2648,1885,1810
1777071953.934039,11929,674294,2908,0,2658,1877,1808
1777071954.023275,11930,674384,2916,0,2659,1885,1807
1777071954.113240,11931,674474,2942,0,2633,1880,1763
1777071954.203262,11932,674564,2976,0,2668,1884,1801
1777071954.293250,11933,674655,2997,0,2710,1890,1843
1777071954.383976,11934,674745,3008,0,2740,1903,1915
1777071954.473259,11935,674834,3050,0,2830,1938,1914
1777071954.563258,11936,674924,3055,0,2884,1947,1897
1777071954.652968,11937,675014,3046,0,2939,2002,1893
1777071954.744259,11938,675104,3065,1,2970,2032,1890
1777071954.833260,11939,675195,3041,0,2978,2007,1790
1777071954.923032,11940,675285,3008,0,2986,2015,1706
1777071955.013246,11941,675375,0,0,2990,2010,1719
1777071955.103293,11942,675464,0,0,2986,2026,1708
1777071955.193281,11943,675554,0,0,2971,2019,1700
1777071955.283233,11944,675644,2960,0,2992,2029,1723
1777071955.373257,11945,675734,2901,0,3003,2099,1746
1777071955.463073,11946,675825,2868,0,3024,2130,1822
1777071955.553272,11947,675915,2904,0,3039,2143,1826
1777071955.643276,11948,676004,2149,0,3040,2151,1847
1777071955.733343,11949,676094,2896,0,3049,2150,1837
1777071955.823190,11950,676184,0,0,3047,2166,1936
1777071955.913293,11951,676274,0,0,3036,2155,2010
1777071956.003033,11952,676365,4,0,3045,2162,2046
1777071956.093255,11953,676455,0,0,3046,2162,2054
1777071956.183264,11954,676544,0,0,3037,2158,2008
1777071956.273271,11955,676634,0,0,3050,2180,1961
1777071956.363261,11956,676724,2538,0,3035,2170,1925
1777071956.453271,11957,676814,2599,0,3047,2169,1946
1777071956.543288,11958,676905,2640,0,3039,2164,1854
1777071956.633112,11959,676995,2692,0,3060,2191,1837
1777071956.723291,11960,677084,2696,0,3059,2204,1808
1777071956.812933,11961,677174,2687,0,3055,2201,1796
1777071956.903202,11962,677264,2704,0,3058,2199,1790
1777071956.995878,11963,677354,2712,0,3084,2178,1783
1777071957.083021,11964,677445,2732,6,3069,2193,1753
1777071957.173269,11965,677535,2727,0,3071,2179,1752
1777071957.263266,11966,677625,2728,0,3073,2181,1752
1777071957.353215,11967,677714,2736,0,3064,2192,1718
1777071957.443250,11968,677804,2722,0,3093,2186,1610
1777071957.533072,11969,677894,2727,0,3077,2188,1624
1777071957.623293,11970,677985,2708,0,3077,2167,1592
1777071957.713159,11971,678075,2719,0,3067,2155,1540
1777071957.803265,11972,678165,2726,0,3061,2158,1501
1777071957.893163,11973,678254,2725,0,3059,2154,1539
1777071957.983255,11974,678344,2735,1,3053,2152,1507
1777071958.072989,11975,678434,2719,2,3037,2148,1367
1777071958.163294,11976,678525,2719,0,2990,2164,1422
1777071958.253322,11977,678615,2720,0,3015,2160,1439
1777071958.343157,11978,678705,2712,0,2950,2137,1300
1777071958.433173,11979,678794,2709,0,2906,2112,1137
1777071958.523246,11980,678884,2711,23,2886,2093,1097
1777071958.658267,11982,679083,2697,0,2654,1991,928
1777071958.748290,11983,679110,2689,0,2645,1982,937
1777071958.838284,11984,679200,2694,0,2616,1999,1007
1777071958.927975,11985,679290,2706,0,2606,2038,1103
1777071959.018264,11986,679379,2709,0,2558,2042,1115
1777071959.108192,11987,679469,2704,0,2481,2034,1079
1777071959.198293,11988,679559,2698,0,2457,2021,1019
1777071959.288262,11989,679650,2687,0,2383,2004,976
1777071959.377935,11990,679740,2678,0,2359,1997,897
1777071959.468267,11991,679830,2664,0,2233,2004,872
1777071959.558193,11992,679919,2658,0,2150,2010,904
1777071959.648159,11993,680009,2649,0,2219,1993,929
1777071959.783048,11995,680208,2638,0,2268,1956,944
1777071959.872993,11996,680235,2634,0,2268,1956,943
1777071959.963069,11997,680325,2635,0,2226,1940,903
1777071960.053151,11998,680415,2625,0,2236,1937,900
1777071960.143115,11999,680504,2608,0,2225,1930,831
1777071960.233121,12000,680594,2607,0,2227,1927,802
1777071960.323251,12001,680684,2621,0,2234,1924,782
1777071960.458386,12002,680775,2609,0,2208,1923,811
1777071960.548190,12004,680974,2610,0,2204,1920,748
1777071960.638954,12005,681000,2616,0,2196,1921,744
1777071960.729010,12006,681089,2624,0,2189,1916,713
1777071960.818146,12007,681179,2624,0,2188,1913,691
1777071960.908160,12008,681270,2619,0,2179,1905,613
1777071960.998242,12009,681360,2623,0,2210,1904,663
1777071961.088167,12010,681450,2622,0,2215,1912,717
1777071961.178108,12011,681540,2638,0,2216,1920,807
1777071961.267858,12012,681629,2639,0,2203,1951,1000
1777071961.359153,12013,681719,2642,0,2188,1964,1014
1777071961.448262,12014,681809,2642,0,2179,1954,967
1777071961.538194,12015,681900,2640,0,2186,1956,959
1777071961.628254,12016,681990,2640,0,2172,1964,946
1777071961.718062,12017,682080,2639,0,2155,1972,899
1777071961.808137,12018,682169,2624,0,2155,1943,775
1777071961.898340,12019,682259,2613,0,2136,1942,700
1777071961.988266,12020,682349,2627,0,2100,1940,659
1777071962.078267,12021,682440,2624,0,2055,1918,646
1777071962.168267,12022,682530,2599,0,1983,1912,557
1777071962.258157,12023,682620,2559,0,1876,1874,428
1777071962.348037,12024,682709,2535,0,1788,1831,0
1777071962.438248,12025,682799,2518,0,1744,1783,0
1777071962.528265,12026,682889,2523,0,1768,1780,0
1777071962.618266,12027,682980,2522,0,1707,1790,0
1777071962.708156,12028,683070,2467,0,1449,1651,0
1777071962.798195,12029,683160,2361,0,1401,1563,0
1777071962.888128,12030,683250,2403,0,1423,1596,0
1777071962.978265,12031,683339,2418,0,1327,1596,0
1777071963.068294,12032,683429,2418,0,1266,1559,0
1777071963.158299,12033,683520,2429,0,1294,1567,0
1777071963.248218,12034,683610,2381,0,992,1497,0
1777071963.338254,12035,683700,1379,0,0,110,0
1777071963.473316,12037,683899,0,0,0,0,0
1777071963.563279,12038,683924,0,0,0,0,0
1777071963.653263,12039,684014,5,0,0,0,0
1777071963.743235,12040,684105,0,0,0,0,0
1777071963.833091,12041,684195,0,0,0,0,0
1777071963.922905,12042,684285,0,0,0,0,0
1777071964.013177,12043,684375,0,0,0,0,0
1777071964.103885,12044,684464,0,0,0,0,0
1777071964.193265,12045,684554,0,0,0,0,0
1777071964.283199,12046,684645,0,0,0,0,0
1777071964.372961,12047,684735,0,0,0,0,0
1777071964.463009,12048,684825,0,0,0,0,0
1777071964.553275,12049,684915,0,0,0,1,1
1777071964.642954,12050,685004,0,0,0,0,0
1777071964.733084,12051,685094,0,0,0,0,0
1777071964.823262,12052,685185,0,0,0,0,0
1777071964.913058,12053,685275,0,0,0,0,0
1777071965.003079,12054,685365,0,0,0,0,0
1777071965.093263,12055,685455,0,0,0,0,0
1777071965.183270,12056,685544,0,0,0,0,0
1777071965.273083,12057,685634,0,0,0,0,0
1777071965.363065,12058,685725,0,0,0,0,0
1777071965.453266,12059,685815,0,0,0,0,0
1777071965.588214,12060,685905,0,0,0,0,0
1777071965.678197,12062,686104,0,0,0,0,0
1777071965.768296,12063,686129,0,0,0,0,0
1777071965.858207,12064,686219,0,0,0,0,0
1777071965.948268,12065,686310,0,0,0,0,0
1777071966.039050,12066,686400,0,0,0,0,0
1777071966.129218,12067,686490,0,0,0,0,0
1777071966.218222,12068,686580,0,0,0,0,0
1777071966.308252,12069,686669,0,1,0,0,0
1777071966.398265,12070,686759,0,0,0,1,0
1777071966.488250,12071,686850,0,0,0,0,0
1777071966.579012,12072,686940,0,0,0,0,0
1777071966.668196,12073,687030,0,0,4,0,0
1777071966.758270,12074,687120,0,0,0,0,0
1777071966.848280,12075,687209,0,0,0,0,0
1777071966.938033,12076,687299,0,0,0,0,0
1777071967.028286,12077,687390,0,0,4,0,0
1777071967.117963,12078,687480,0,0,0,0,0
1777071967.208322,12079,687570,0,0,0,0,0
1777071967.298101,12080,687660,7,0,0,0,0
1777071967.388333,12081,687750,0,0,0,0,0
1777071967.478358,12082,687839,0,0,0,0,1
1777071967.568240,12083,687930,0,0,0,0,0
1777071967.658134,12084,688020,0,0,0,0,0
1777071967.748103,12085,688110,0,0,0,0,0
1777071967.838224,12086,688200,0,0,0,1,0
1777071967.928356,12087,688290,0,0,0,0,0
1777071968.018260,12088,688379,0,0,0,0,0
1777071968.108354,12089,688470,0,0,0,0,0
1777071968.198128,12090,688560,0,0,0,0,0
1777071968.288334,12091,688650,0,0,0,0,0
1777071968.378345,12092,688740,0,0,0,0,4
1777071968.468301,12093,688830,0,0,0,0,0
1777071968.558250,12094,688919,0,0,0,0,0
1777071968.648212,12095,689010,8,0,0,0,0
1777071968.738203,12096,689100,0,0,0,0,8
1777071968.828275,12097,689190,0,0,0,0,0
1777071968.918259,12098,689280,0,0,0,0,0
1777071969.008286,12099,689370,0,0,0,0,0
1777071969.097858,12100,689459,0,0,0,0,0
1777071969.188419,12101,689550,0,0,0,2,0
1777071969.278315,12102,689640,0,0,0,0,0
1777071969.368251,12103,689730,0,0,0,0,0
1777071969.458177,12104,689820,0,0,0,0,0
1777071969.548223,12105,689910,0,0,0,0,0
