host_time_s,seq,device_ms,fsr0,fsr1,fsr2,fsr3,fsr4
1777072535.196934,61731,1255667,0,0,0,0,0
1777072535.287961,61732,1255677,0,0,0,0,0
1777072535.377102,61733,1255758,0,0,0,0,0
1777072535.467090,61734,1255848,0,0,0,0,0
1777072535.557006,61735,1255938,0,0,0,0,0
1777072535.648357,61736,1256028,0,0,0,0,0
1777072535.736917,61737,1256118,0,0,0,0,0
1777072535.826967,61738,1256208,1,0,0,0,1
1777072535.916888,61739,1256298,0,1,0,0,0
1777072536.007144,61740,1256388,0,0,0,0,0
1777072536.096971,61741,1256478,0,0,0,0,0
1777072536.186832,61742,1256568,0,0,0,0,0
1777072536.277933,61743,1256658,0,0,0,0,0
1777072536.367173,61744,1256749,0,0,0,0,0
1777072536.457167,61745,1256838,0,0,0,0,3
1777072536.547193,61746,1256928,2,0,0,0,0
1777072536.637159,61747,1257018,0,0,0,0,0
1777072536.727978,61748,1257108,0,0,0,0,0
1777072536.817149,61749,1257198,0,0,0,0,0
1777072536.907097,61750,1257289,0,0,0,0,0
1777072536.997118,61751,1257378,0,0,3,0,0
1777072537.087198,61752,1257468,0,0,0,0,0
1777072537.177072,61753,1257558,0,0,0,0,0
1777072537.267076,61754,1257648,0,0,0,0,0
1777072537.357253,61755,1257738,0,0,0,0,0
1777072537.447250,61756,1257829,2,0,0,2,0
1777072537.537266,61757,1257918,0,0,0,0,0
1777072537.672246,61758,1258008,0,0,0,0,2
1777072537.762051,61760,1258208,0,0,0,0,0
1777072537.852217,61761,1258233,0,0,0,0,0
1777072537.942265,61762,1258323,0,0,0,0,0
1777072538.077256,61763,1258414,0,0,0,0,0
1777072538.167244,61765,1258613,0,0,0,0,0
1777072538.257267,61766,1258638,0,0,0,0,0
1777072538.346843,61767,1258728,0,0,0,0,0
1777072538.437265,61768,1258818,0,0,0,0,0
1777072538.527225,61769,1258909,0,0,0,0,0
1777072538.617198,61770,1258999,0,0,0,0,6
1777072538.707166,61771,1259088,0,0,0,0,0
1777072538.886992,61772,1259178,0,0,0,0,0
1777072538.977136,61774,1259377,0,0,0,0,0
1777072539.067219,61775,1259449,0,0,0,0,0
1777072539.157286,61776,1259539,0,0,0,0,0
1777072539.247191,61777,1259628,0,2,0,0,0
1777072539.337049,61778,1259718,0,0,0,0,0
1777072539.427185,61779,1259808,2,0,0,0,0
1777072539.562280,61780,1259898,0,0,0,0,0
1777072539.652272,61782,1260097,0,0,0,0,0
1777072539.742278,61783,1260124,0,0,0,0,0
1777072539.832235,61784,1260213,0,0,8,0,8
1777072539.922231,61785,1260303,0,0,0,0,0
1777072540.012120,61786,1260393,0,0,0,0,0
1777072540.102050,61787,1260483,0,0,0,2,1
1777072540.192116,61788,1260574,0,0,0,0,0
1777072540.283201,61789,1260664,0,0,0,0,0
1777072540.372201,61790,1260753,0,0,0,0,0
